Company,Year,Total_Revenue,Advertising_Revenue,Non_Advertising_Revenue,Regional_Revenue_US,Regional_Revenue_Europe,Regional_Revenue_Asia,Regional_Revenue_RoW
Meta,2014,12466,11492,974,,,,
Meta,2015,17928,17079,849,,,,
Meta,2016,27638,26885,753,13432.0,6792.0,5037.0,2377.0
Meta,2017,40653,39942,711,19065.0,10126.0,7921.0,3541.0
Meta,2018,55838,55013,825,25727.0,13631.0,11733.0,4747.0
Meta,2019,70697,69655,1042,32206.0,16826.0,15406.0,6259.0
Meta,2020,85965,84169,1796,38433.0,20349.0,19848.0,7335.0
Meta,2021,117929,114934,2995,51541.0,29057.0,26739.0,10592.0
Meta,2022,116609,113642,2967,50150.0,26681.0,27760.0,12018.0
Meta,2023,134902,131948,2954,52888.0,31210.0,36154.0,14650.0
Meta,2024,164501,160633,3868,63207.0,38361.0,45009.0,17924.0
Meta,2025,200966,196175,4791,78866.0,46569.0,53817.0,21714.0
Alphabet,2014,66001,59624,6377,29482.0,6483.0,,30036.0
Alphabet,2015,74989,67390,7599,34810.0,7067.0,,33112.0
Alphabet,2016,90272,79383,10889,42781.0,7787.0,,39704.0
Alphabet,2017,110855,95577,15278,52449.0,36236.0,16192,6147.0
Alphabet,2018,136819,116461,20358,63269.0,44739.0,21341,7608.0
Alphabet,2019,161857,134811,27046,74843.0,50645.0,26928,8986.0
Alphabet,2020,182527,146924,35603,85014.0,55370.0,32550,9417.0
Alphabet,2021,257637,209497,48140,117854.0,79107.0,46123,14404.0
Alphabet,2022,282836,224473,58363,134814.0,82062.0,47024,16976.0
Alphabet,2023,307394,237855,69539,146286.0,91038.0,51514,18320.0
Alphabet,2024,350018,264590,85428,170447.0,102127.0,56815,20418.0
Alphabet,2025,402836,294691,108145,194229.0,117152.0,67680,23902.0
