e,c,C,F,a,d,y,f,p,s,r,t,u
1,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-12-09,2018.0,4800.0,Betting place,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.dsb.gv.at/documents/22758/116802/Straferkenntnis+DSB-D550.038+0003-DSB+2018.pdf/fb0bb313-8651-44ac-a713-c286d83e3f19
2,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018,2018.0,1800.0,Kebab restaurant,Accomodation and Hospitality,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing,https://www.dsb.gv.at/documents/22758/115212/Newsletter_DSB_1_2020.pdf/a640bbb8-9297-4230-86e4-163bc9ccb844
3,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-09-27,2018.0,300.0,Private car owner,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00.pdf
4,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-12-20,2018.0,2200.0,Private person,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00.pdf
5,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2019-05-28,2019.0,2000.0,Mayor,Public Sector and Education,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.autoriteprotectiondonnees.be/news/lautorite-de-protection-des-donnees-prononce-une-sanction-dans-le-cadre-dune-campagne
6,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2018-12-04,2018.0,500.0,Bank,"Finance, Insurance and Consulting","Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://gdprtoolkit.eu/first-gdpr-fine-in-bulgaria/
7,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-26,2019.0,27100.0,Telecommunication service provider,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element_view&aid=2180
8,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-01-17,2019.0,500.0,Bank,"Finance, Insurance and Consulting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element&aid=1195
9,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-22,2019.0,500.0,Employer,Employment,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.cpdp.bg/?p=element_view&aid=2177
10,CYPRUS,Cyprus,/flags/flag_cyprus.png,Cypriot Data Protection Commissioner,2019,2019.0,5000.0,State Hospital,Health Care,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
11,CYPRUS,Cyprus,/flags/flag_cyprus.png,Cypriot Data Protection Commissioner,2019,2019.0,10000.0,Newspaper,"Media, Telecoms and Broadcasting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
12,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-01-10,2019.0,388.0,Employer,Employment,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34464
13,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-04,2019.0,1165.0,Car renting company,Industry and Commerce,Art. 5 (1) a) GDPR,Insufficient fulfilment of information obligations,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34465
14,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-28,2019.0,582.0,Unknown,Not assigned,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34466
15,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-04,2019.0,1165.0,Credit brokerage,"Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34467
16,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2018-10-25,2018.0,388.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34468
17,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-26,2019.0,776.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34469
18,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-03-21,2019.0,10000.0,Unknown,Not assigned,Art. 5 (1) GDPR,Non-compliance with general data processing principles,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34470
19,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),Unknown,,3140.0,"UniCredit Bank Czech Republic and Slovakia, a.s.","Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.uoou.cz/kontrola-zpracovani-osobnich-udaju-bankou-unicredit-bank-czech-republic-and-slovakia-a-s/ds-5705/archiv=0&p1=5653
20,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-05-06,2019.0,194.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34472
21,DENMARK,Denmark,/flags/flag_denmark.png,Danish Data Protection Authority (Datatilsynet),2019,2019.0,160000.0,Taxa 4x35,Transportation and Energy,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2019/mar/datatilsynet-indstiller-taxaselskab-til-boede-paa-1-2-mio-kr/
22,DENMARK,Denmark,/flags/flag_denmark.png,Danish Data Protection Authority (Datatilsynet),2021-02-12,2021.0,13450.0,IDdesign A / S,Industry and Commerce,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/
23,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2019-01-21,2019.0,50000000.0,Google LLC,"Media, Telecoms and Broadcasting","Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc
