company,year,total_revenue,advertising_revenue,non_advertising_revenue,regional_revenue_us,regional_revenue_europe,regional_revenue_asia,regional_revenue_row,us_revenue_share,europe_revenue_share,asia_revenue_share,row_revenue_share,advertising_revenue_share,non_advertising_revenue_share,total_fine_amount,number_of_fines
Meta,2016,27638,26885,753,13432.0,6792.0,5037.0,2377.0,48.599753961936464,24.574860699037558,18.224907735726173,8.600477603299804,97.27549026702367,2.724509732976337,0.0,0.0
Meta,2017,40653,39942,711,19065.0,10126.0,7921.0,3541.0,46.89690797727105,24.908370845940027,19.48441689420215,8.71030428258677,98.25105158290901,1.7489484170909897,0.0,0.0
Meta,2018,55838,55013,825,25727.0,13631.0,11733.0,4747.0,46.07435796411046,24.41169096314338,21.01257208352735,8.501378989218813,98.52251155127333,1.4774884487266735,0.0,0.0
Meta,2019,70697,69655,1042,32206.0,16826.0,15406.0,6259.0,45.55497404416029,23.800161251538256,21.791589459241553,8.853275245059903,98.52610436086397,1.4738956391360312,51000.0,1.0
Meta,2020,85965,84169,1796,38433.0,20349.0,19848.0,7335.0,44.70772989007154,23.671261559937186,23.08846623625894,8.532542313732334,97.91077764206364,2.0892223579363693,0.0,0.0
Meta,2021,117929,114934,2995,51541.0,29057.0,26739.0,10592.0,43.70511070220217,24.639401673888525,22.67381220904103,8.981675414868267,97.46033630404735,2.5396636959526493,285005000.0,3.0
Meta,2022,116609,113642,2967,50150.0,26681.0,27760.0,12018.0,43.00697201759726,22.880738193449908,23.806052706051847,10.306237082900976,97.45559948202968,2.544400517970311,687000000.0,3.0
Meta,2023,134902,131948,2954,52888.0,31210.0,36154.0,14650.0,39.20475604512906,23.13531304206016,26.80019569761753,10.859735215193252,97.81026226445864,2.189737735541356,1595500000.0,3.0
Meta,2024,164501,160633,3868,63207.0,38361.0,45009.0,17924.0,38.42347462933356,23.31961507832779,27.36092789709485,10.895982395243797,97.64864651278715,2.351353487212844,342000000.0,2.0
Meta,2025,200966,196175,4791,78866.0,46569.0,53817.0,21714.0,39.243454116616746,23.172576455718875,26.77915667326812,10.804812754396266,97.61601464924415,2.3839853507558493,6000.0,1.0
Alphabet,2016,90272,79383,10889,42781.0,7787.0,,39704.0,47.39121765331443,8.626152073732719,,43.98263027295285,87.93756646579227,12.062433534207727,0.0,0.0
Alphabet,2017,110855,95577,15278,52449.0,36236.0,16192.0,6147.0,47.31315682648505,32.68774525280772,14.606467908529162,5.545081412656173,86.21803256506246,13.781967434937531,0.0,0.0
Alphabet,2018,136819,116461,20358,63269.0,44739.0,21341.0,7608.0,46.242846388294026,32.699405784284345,15.597979812745304,5.560631198883196,85.12048765156887,14.87951234843114,0.0,0.0
Alphabet,2019,161857,134811,27046,74843.0,50645.0,26928.0,8986.0,46.24019968243573,31.28996583403869,16.63690788782691,5.551814255793695,83.29018825259334,16.70981174740666,50000200.0,2.0
Alphabet,2020,182527,146924,35603,85014.0,55370.0,32550.0,9417.0,46.57612298454475,30.335238074367084,17.83297813474171,5.159236715663984,80.49439261040833,19.505607389591678,5600028.0,3.0
Alphabet,2021,257637,209497,48140,117854.0,79107.0,46123.0,14404.0,45.74420599525689,30.704828887155184,17.902319930755286,5.590811878728599,81.31479562329945,18.68520437670055,150000000.0,2.0
Alphabet,2022,282836,224473,58363,134814.0,82062.0,47024.0,16976.0,47.66507799572897,29.013986904071615,16.625889207880185,6.002064800803293,79.3650737529876,20.6349262470124,10000000.0,1.0
Alphabet,2023,307394,237855,69539,146286.0,91038.0,51514.0,18320.0,47.589087620448026,29.616062772858285,16.75829716910545,5.959778004775631,77.37789286713469,22.622107132865313,0.0,0.0
Alphabet,2024,350018,264590,85428,170447.0,102127.0,56815.0,20418.0,48.69663845859356,29.177642292682094,16.232022353136124,5.833414281551234,75.59325520401808,24.406744795981922,0.0,0.0
Alphabet,2025,402836,294691,108145,194229.0,117152.0,67680.0,23902.0,48.2154027941892,29.08180996733162,16.800881748403818,5.933431967351479,73.15408751948684,26.845912480513164,325000000.0,2.0
