state,patent_count,inventor_count,domestic,foreign,share_foreign,log_patents,log_inventor_count
AK,7,19,9,10,0.5263157894736842,1.9459101490553132,2.9444389791664403
AL,292,639,266,373,0.5837245696400626,5.676753802268282,6.459904454377535
AR,307,816,214,602,0.7377450980392157,5.726847747587197,6.704414354964107
AZ,1807,3057,997,2060,0.6738632646385345,7.499423290592229,8.025189321890835
CA,43576,77691,18539,59152,0.7613751914636187,10.68226181906351,11.260494699531083
CO,2107,4025,1677,2348,0.5833540372670808,7.653020413804189,8.300280189852664
CT,1923,3643,1288,2355,0.6464452374416689,7.56164174558878,8.200562797008564
DC,593,1499,528,971,0.6477651767845231,6.385194398997726,7.312553498102598
DE,1942,3132,892,2240,0.7151979565772669,7.571473648851271,8.049427057110695
FL,3158,5617,1942,3675,0.6542638419084921,8.057694194815587,8.633552992532433
GA,2433,4523,1695,2828,0.6252487287198761,7.796880342783522,8.416930769477844
HI,39,80,34,46,0.575,3.6635616461296463,4.382026634673881
IA,1182,1365,587,778,0.5699633699633699,7.074963197966044,7.21890970761906
ID,1565,1701,429,1272,0.7477954144620811,7.355641102974253,7.438971592395862
IL,4782,9420,3385,6035,0.6406581740976646,8.47261414801827,9.150590367570409
IN,1587,3567,1377,2190,0.6139613120269134,7.369600720526409,8.17948018535889
KS,519,896,327,569,0.6350446428571429,6.251903883165888,6.79794041297493
KY,239,567,240,327,0.5767195767195767,5.476463551931511,6.340359303727752
LA,170,355,140,215,0.6056338028169014,5.135798437050262,5.872117789475416
MA,6447,14337,4479,9858,0.6875915463486085,8.77137018531062,9.570598887246268
MD,1384,3293,1002,2291,0.6957181901002125,7.232733136177615,8.099554282376364
ME,89,226,115,111,0.4911504424778761,4.48863636973214,5.420534999272286
MI,4756,9453,3049,6404,0.6774568919919602,8.467162257810672,9.154087430425385
MN,3398,7622,3130,4492,0.5893466281815797,8.130942302231878,8.938794081433805
MO,1323,2301,891,1410,0.6127770534550195,7.187657164114956,7.741099090035366
MS,47,107,43,64,0.5981308411214953,3.8501476017100584,4.672828834461906
MT,233,481,154,327,0.6798336798336798,5.4510384535657,6.175867270105761
NC,4378,7772,2459,5313,0.6836078229541945,8.384347278082808,8.95828281049733
ND,74,155,69,86,0.5548387096774193,4.30406509320417,5.043425116919247
NE,192,445,206,239,0.5370786516853933,5.2574953720277815,6.09807428216624
NH,556,1092,425,667,0.6108058608058609,6.320768294250582,6.9957661563048505
NJ,2781,6439,1750,4689,0.7282186674949527,7.930565854233965,8.770128527538184
NM,336,865,336,529,0.6115606936416185,5.817111159963204,6.762729506931879
NV,834,1433,562,871,0.6078157711095603,6.726233402358747,7.267525427828172
NY,7994,17066,4473,12593,0.7378999179655455,8.986446539271268,9.744843459096531
OH,3377,6952,2681,4271,0.614355581127733,8.124743020385568,8.846784666945227
OK,324,555,278,277,0.4990990990990991,5.780743515792329,6.318968113746434
OR,1019,1778,757,1021,0.5742407199100112,6.926577033222725,7.48324441607385
PA,3288,6690,2367,4323,0.6461883408071749,8.098034756176071,8.808369153122275
RI,418,882,393,489,0.5544217687074829,6.035481432524756,6.782192056006791
SC,681,1445,512,933,0.6456747404844291,6.523562306149512,7.275864600546533
SD,71,141,70,71,0.5035460992907801,4.2626798770413155,4.948759890378168
TN,1062,2245,922,1323,0.5893095768374165,6.967909201801884,7.716460800176355
TX,11229,18951,5476,13475,0.7110442720700755,9.326254996572539,9.84961197956681
UT,1045,2001,990,1011,0.5052473763118441,6.951772164398911,7.601402334583733
VA,3996,6762,2506,4256,0.629399585921325,8.293049139768444,8.819073983267831
VT,139,177,81,96,0.5423728813559322,4.9344739331306915,5.176149732573829
WA,4895,12699,3162,9537,0.751004016064257,8.49596955496461,9.449278529189034
WI,2008,4295,1710,2585,0.6018626309662398,7.60489448081162,8.365206834418355
WV,25,67,27,40,0.5970149253731343,3.2188758248682006,4.204692619390966
WY,162,273,115,158,0.5787545787545788,5.087596335232384,5.60947179518496
