country_code,year,lowb_pct,leave_fathers,leave_mothers
AUT,2021,5.9,13.0,60.0
NLD,2017,5.9,0.4,16.0
SVN,2019,5.9,4.3,52.1
CHE,2020,5.9,2.0,14.0
CHE,2021,5.9,2.0,14.0
IRL,2017,5.7,2.0,26.0
IRL,2018,5.7,2.0,26.0
LUX,2021,5.7,28.0,46.0
NLD,2019,5.7,1.0,16.0
NLD,2020,5.7,1.0,16.0
POL,2017,5.7,2.0,52.0
POL,2021,5.7,2.0,52.0
SVN,2020,5.7,4.3,52.1
MEX,2017,6.0,1.0,12.0
NZL,2017,6.0,0.0,18.0
NZL,2018,6.0,0.0,18.0
NZL,2019,6.0,0.0,22.0
AUS,2017,6.7,2.0,18.0
AUS,2018,6.7,2.0,18.0
AUS,2019,6.6,2.0,18.0
AUS,2020,6.5,2.0,18.0
AUS,2021,6.3,2.0,18.0
AUT,2017,6.4,8.7,60.0
AUT,2018,6.2,8.7,60.0
AUT,2019,6.2,8.7,60.0
AUT,2020,5.8,13.0,60.0
BEL,2017,6.8,19.3,32.3
BEL,2018,6.8,19.3,32.3
BEL,2019,6.7,19.3,32.3
BEL,2020,6.4,19.3,32.3
BEL,2021,6.5,20.3,32.3
CAN,2017,6.5,0.0,51.0
CAN,2018,6.5,0.0,51.0
CAN,2019,6.7,5.0,51.0
CAN,2020,6.5,5.0,51.0
CAN,2021,6.6,5.0,51.0
CHL,2017,6.7,1.0,30.0
CHL,2018,7.0,1.0,30.0
CHL,2019,6.8,1.0,30.0
CHL,2020,6.7,1.0,30.0
CHL,2021,7.1,1.0,30.0
COL,2017,9.1,8.0,17.0
COL,2018,9.2,8.0,17.0
COL,2019,9.5,8.0,17.0
COL,2020,9.2,8.0,17.0
COL,2021,9.9,8.0,17.0
CRI,2017,7.5,0.0,17.3
CRI,2018,7.2,0.0,17.3
CRI,2019,7.5,0.0,17.3
CRI,2020,7.1,0.0,17.3
CRI,2021,8.0,0.0,17.3
CZE,2017,7.5,0.0,110.0
CZE,2018,7.0,1.0,63.3
CZE,2019,6.8,1.0,62.3
CZE,2020,6.6,1.0,75.1
CZE,2021,6.4,1.0,
DNK,2017,4.9,2.0,50.0
DNK,2018,4.8,2.0,50.0
DNK,2020,4.7,2.0,50.0
DNK,2021,4.7,2.0,50.0
EST,2017,4.2,2.0,166.0
EST,2018,4.1,2.0,166.0
EST,2019,4.4,2.0,166.0
EST,2020,4.2,2.0,82.0
EST,2021,4.0,4.3,82.0
FIN,2017,4.2,9.0,161.0
FIN,2018,4.1,9.0,161.0
FIN,2019,4.0,9.0,161.0
FIN,2020,3.9,9.0,161.0
FIN,2021,4.0,9.0,161.0
FRA,2017,7.6,28.0,42.0
FRA,2018,7.6,28.0,42.0
FRA,2019,7.4,28.0,42.0
FRA,2020,7.2,28.0,42.0
FRA,2021,7.3,28.0,42.0
GRC,2017,9.3,0.4,43.0
GRC,2018,9.6,0.4,43.0
GRC,2019,9.4,0.4,43.0
GRC,2020,9.1,0.4,43.0
GRC,2021,9.7,0.4,43.0
HUN,2017,8.3,1.0,160.0
HUN,2018,8.5,1.0,160.0
HUN,2019,8.2,1.0,160.0
HUN,2020,7.7,1.0,160.0
HUN,2021,7.4,1.0,160.0
ISL,2017,3.8,13.0,26.0
ISL,2018,3.6,13.0,26.0
ISL,2019,4.4,13.0,26.0
ISL,2020,3.6,17.3,26.0
ISL,2021,3.7,20.0,32.0
IRL,2019,5.6,2.0,26.0
IRL,2020,5.5,4.0,28.0
IRL,2021,5.6,7.0,31.0
ISR,2017,7.7,0.0,15.0
ISR,2018,7.4,0.0,15.0
ISR,2019,7.4,0.0,15.0
ISR,2020,6.8,0.0,15.0
ISR,2021,7.0,0.0,15.0
ITA,2017,7.4,0.4,47.7
ITA,2018,7.2,0.8,47.7
ITA,2019,7.1,0.8,47.7
ITA,2020,6.8,0.8,47.7
ITA,2021,6.8,0.8,47.7
JPN,2017,9.4,52.0,58.0
JPN,2018,9.4,52.0,58.0
JPN,2019,9.4,52.0,58.0
JPN,2020,9.2,52.0,58.0
JPN,2021,9.4,52.0,58.0
KOR,2017,6.2,52.6,64.9
KOR,2018,6.2,52.6,64.9
KOR,2019,6.6,52.6,64.9
KOR,2020,6.8,54.0,64.9
KOR,2021,7.2,54.0,64.9
LVA,2017,4.4,1.4,94.0
LVA,2018,4.3,1.4,94.0
LVA,2019,4.3,1.4,94.0
LVA,2020,4.1,1.4,94.0
LVA,2021,4.2,1.4,94.0
LTU,2017,4.9,4.0,62.0
LTU,2018,4.6,4.0,62.0
LTU,2019,4.6,4.0,62.0
LTU,2020,4.2,4.0,62.0
LTU,2021,4.6,4.0,62.0
LUX,2017,6.3,26.4,42.0
LUX,2018,6.2,28.0,46.0
LUX,2019,6.7,28.0,46.0
