country,year,countryname,religious_rhetoric_rate,voice_accountability
AUS,1996,Australia,0.14571745418526807,1.4197298
AUS,1998,Australia,0.28376844494892167,1.4214336
AUS,2004,Australia,0.44480616924252286,1.4002296
AUS,2007,Australia,0.3160975646744148,1.5924951
AUS,2010,Australia,0.09605793032105517,1.6357193
AUS,2013,Australia,0.11396442158309895,1.543246
AUS,2016,Australia,0.26192347942975214,1.5880705
AUS,2019,Australia,0.12087675332705827,1.4944488
AUS,2022,Australia,0.16490289210917466,1.4808101
CAN,2000,Canada,0.13998150257776332,1.6195961
CAN,2004,Canada,0.26454937605070217,1.5737451
CAN,2006,Canada,0.04488871322617347,1.5633388
CAN,2008,Canada,0.1940416225095587,1.5424223
CAN,2011,Canada,0.1241859871757213,1.4253065
CAN,2015,Canada,0.37699882702996945,1.5823156
CAN,2019,Canada,0.37335630247527746,1.5957418
GBR,2005,United Kingdom,0.31035835086029495,1.4461899
GBR,2015,United Kingdom,0.5124691212302529,1.4627829
GBR,2017,United Kingdom,0.47371196949306593,1.4237022
GBR,2019,United Kingdom,0.37694529772482305,1.3077601
IRL,2002,Ireland,0.06715919754803347,1.3662036
IRL,2007,Ireland,0.16644672387923928,1.5525635
IRL,2011,Ireland,0.160054339632439,1.3622234
IRL,2016,Ireland,0.6989886634552647,1.3765917
IRL,2020,Ireland,0.3708711340683484,1.5010975
USA,1996,United States,2.1018795860240327,1.3668945
USA,2000,United States,1.7558348264282682,1.2795216
USA,2004,United States,2.2227558706165667,1.2442672
USA,2008,United States,2.242043486245576,1.3259506
USA,2012,United States,2.4834677083879533,1.2638759
USA,2016,United States,3.3441251674109136,1.2417637
USA,2020,United States,2.984510139722458,0.9561038
ZAF,2004,South Africa,0.7985125389523358,0.658616
ZAF,2009,South Africa,1.5157352600665344,0.6261158
ZAF,2014,South Africa,0.5487501917784117,0.557058
ZAF,2019,South Africa,0.9286217197415296,0.4911743
