country,year,china_debt_usd
PAK,1970,49132800.0
PAK,1971,5662567.4
PAK,1972,17234550.9
PAK,1973,48222405.0
PAK,1974,67886457.3
PAK,1975,72163540.2
PAK,1976,93035283.0
PAK,1977,102195395.5
PAK,1978,127130887.7
PAK,1979,137463285.4
PAK,1980,149430945.3
PAK,1981,142538092.9
PAK,1982,183526646.8
PAK,1983,180689717.9
PAK,1984,143266648.8
PAK,1985,151726191.1
PAK,1986,148616183.2
PAK,1987,144943981.1
PAK,1988,141221659.6
PAK,1989,179186617.6
PAK,1990,228017067.9
PAK,1991,240547711.4
PAK,1992,237815723.9
PAK,1993,299517691.3
PAK,1994,352285020.8
PAK,1995,332463444.9
PAK,1996,365282453.5
PAK,1997,342073745.4
PAK,1998,327491543.5
PAK,1999,353549527.1
PAK,2000,417665249.1
PAK,2001,86090638.9
PAK,2002,117164805.0
PAK,2003,250017604.9
PAK,2004,410498815.7
PAK,2005,482783601.2
PAK,2006,826462848.9
PAK,2007,936205895.2
PAK,2008,955735533.5
PAK,2009,1827189897.0
PAK,2010,1995260815.9
PAK,2011,2430594390.2
PAK,2012,3113994324.6
PAK,2013,4027851596.9
PAK,2014,4933311924.6
PAK,2015,5785012482.9
PAK,2016,7479295811.5
PAK,2017,10118822134.2
PAK,2018,16802518336.6
PAK,2019,20322532271.3
PAK,2020,22507234178.8
PAK,2021,24317695703.5
PAK,2022,22725837817.0
PAK,2023,22623944059.6
PAK,2024,22384919561.7
PAK,2025,
PAK,2026,
PAK,2027,
PAK,2028,
PAK,2029,
PAK,2030,
PAK,2031,
PAK,2032,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
AGO,1980,
AGO,1981,
AGO,1982,
AGO,1983,
AGO,1984,
AGO,1985,
AGO,1986,
AGO,1987,
AGO,1988,
AGO,1989,13238000.0
AGO,1990,23597000.0
AGO,1991,23597000.0
AGO,1992,23597000.0
AGO,1993,23598000.0
AGO,1994,23596000.0
AGO,1995,23598000.0
AGO,1996,23598000.0
AGO,1997,23598000.0
AGO,1998,61701000.0
AGO,1999,61701000.0
AGO,2000,61701000.0
AGO,2001,61701000.0
AGO,2002,54101000.0
AGO,2003,54101000.0
AGO,2004,81011000.0
AGO,2005,182010000.0
AGO,2006,556493000.0
AGO,2007,1074852000.0
AGO,2008,1438256000.0
AGO,2009,1573891000.0
AGO,2010,1559148000.0
AGO,2011,1463243000.0
AGO,2012,1600053000.0
AGO,2013,2124269000.0
AGO,2014,2292521000.0
AGO,2015,2581684000.0
AGO,2016,3304503000.0
AGO,2017,3503446000.0
AGO,2018,5023633000.0
AGO,2019,4577959000.0
AGO,2020,4625869000.0
AGO,2021,4569259000.0
AGO,2022,4039806000.0
AGO,2023,3250803000.0
AGO,2024,2596005403.6
AGO,2025,
AGO,2026,
AGO,2027,
AGO,2028,
AGO,2029,
AGO,2030,
AGO,2031,
AGO,2032,
LKA,1970,13844064.0
LKA,1971,40855261.2
LKA,1972,41398538.2
LKA,1973,47277058.0
LKA,1974,59319470.7
LKA,1975,50272539.8
LKA,1976,51068249.1
LKA,1977,34174921.3
LKA,1978,35873345.8
LKA,1979,31350921.3
LKA,1980,29061718.5
LKA,1981,38197055.1
LKA,1982,37828578.5
LKA,1983,34879303.7
LKA,1984,24764306.3
LKA,1985,22660368.2
LKA,1986,33344902.4
LKA,1987,40316675.9
LKA,1988,42911979.9
LKA,1989,35812212.9
LKA,1990,23453394.0
LKA,1991,23053251.9
LKA,1992,20229838.7
LKA,1993,18454827.9
LKA,1994,11569459.5
LKA,1995,13270134.8
LKA,1996,12151072.4
LKA,1997,14002757.9
LKA,1998,24686360.9
LKA,1999,27584265.2
LKA,2000,27190546.8
LKA,2001,39324219.2
LKA,2002,70084282.6
LKA,2003,88122246.3
LKA,2004,99449151.6
LKA,2005,99698796.1
LKA,2006,103154256.6
LKA,2007,271623707.3
LKA,2008,313267189.9
LKA,2009,602965075.2
LKA,2010,1443092440.3
LKA,2011,1875693551.9
LKA,2012,2716626375.7
LKA,2013,3632304459.2
LKA,2014,4294676338.8
LKA,2015,4520771040.5
LKA,2016,4678353555.6
LKA,2017,5070095989.3
LKA,2018,5060894951.6
LKA,2019,5371582375.8
LKA,2020,5319124923.4
LKA,2021,6544854088.4
LKA,2022,6078149721.4
LKA,2023,6026994140.8
LKA,2024,8687353759.7
LKA,2025,
LKA,2026,
LKA,2027,
