country,year,borrower_gdp_growth,china_debt_usd,china_gdp_growth,china_debt_change,post_gfc,china_growth_x_post_gfc
AGO,1990,-3.5,23597000.0,3.9,10359000.0,0,0.0
AGO,1991,12.1,23597000.0,10.2,0.0,0,0.0
AGO,1992,11.4,23597000.0,14.3,0.0,0,0.0
AGO,1993,11.0,23598000.0,13.9,1000.0,0,0.0
AGO,1994,10.5,23596000.0,13.1,-2000.0,0,0.0
AGO,1995,10.4,23598000.0,11.0,2000.0,0,0.0
AGO,1996,11.2,23598000.0,10.0,0.0,0,0.0
AGO,1997,7.3,23598000.0,9.3,0.0,0,0.0
AGO,1998,4.7,61701000.0,7.9,38103000.0,0,0.0
AGO,1999,2.2,61701000.0,7.8,0.0,0,0.0
AGO,2000,3.1,61701000.0,8.6,0.0,0,0.0
AGO,2001,4.2,61701000.0,8.3,0.0,0,0.0
AGO,2002,13.7,54101000.0,9.2,-7600000.0,0,0.0
AGO,2003,3.5,54101000.0,10.1,0.0,0,0.0
AGO,2004,11.4,81011000.0,10.1,26910000.0,0,0.0
AGO,2005,14.1,182010000.0,11.4,100999000.0,0,0.0
AGO,2006,11.8,556493000.0,12.7,374483000.0,0,0.0
AGO,2007,13.0,1074852000.0,14.2,518359000.0,0,0.0
AGO,2008,10.8,1438256000.0,9.6,363404000.0,0,0.0
AGO,2009,2.0,1573891000.0,9.4,135635000.0,1,9.4
AGO,2010,5.3,1559148000.0,10.6,-14743000.0,1,10.6
AGO,2011,3.6,1463243000.0,9.5,-95905000.0,1,9.5
AGO,2012,8.5,1600053000.0,7.8,136810000.0,1,7.8
AGO,2013,4.9,2124269000.0,7.8,524216000.0,1,7.8
AGO,2014,4.7,2292521000.0,7.5,168252000.0,1,7.5
AGO,2015,0.8,2581684000.0,7.0,289163000.0,1,7.0
AGO,2016,-1.7,3304503000.0,6.8,722819000.0,1,6.8
AGO,2017,-0.1,3503446000.0,6.9,198943000.0,1,6.9
AGO,2018,-0.6,5023633000.0,6.8,1520187000.0,1,6.8
AGO,2019,-0.2,4577959000.0,6.1,-445674000.0,1,6.1
AGO,2020,-4.0,4625869000.0,2.3,47910000.0,1,2.3
AGO,2021,2.1,4569259000.0,8.6,-56610000.0,1,8.6
AGO,2022,4.2,4039806000.0,3.1,-529453000.0,1,3.1
AGO,2023,1.3,3250803000.0,5.4,-789003000.0,1,5.4
AGO,2024,5.0,2596005403.6,5.0,-654797596.4000001,1,5.0
BGD,1982,2.4,40437254.9,9.0,28680201.099999998,0,0.0
BGD,1983,4.0,63910212.0,10.8,23472957.1,0,0.0
BGD,1984,5.2,50434290.0,15.2,-13475922.0,0,0.0
BGD,1985,3.2,45653076.0,13.5,-4781214.0,0,0.0
BGD,1986,4.2,39376275.2,8.9,-6276800.799999997,0,0.0
BGD,1987,3.7,43996580.4,11.7,4620305.1999999955,0,0.0
BGD,1988,2.2,47891148.2,11.2,3894567.8000000045,0,0.0
BGD,1989,2.6,38854077.2,4.2,-9037071.0,0,0.0
BGD,1990,5.9,35133940.9,3.9,-3720136.3000000045,0,0.0
BGD,1991,3.3,33762646.3,10.2,-1371294.6000000015,0,0.0
BGD,1992,5.0,31898358.5,14.3,-1864287.799999997,0,0.0
BGD,1993,4.6,31905345.4,13.9,6986.89999999851,0,0.0
BGD,1994,4.1,21984435.8,13.1,-9920909.599999998,0,0.0
BGD,1995,4.9,27805689.1,11.0,5821253.300000001,0,0.0
BGD,1996,4.6,32955194.7,10.0,5149505.599999998,0,0.0
BGD,1997,4.5,30256239.1,9.3,-2698955.5999999978,0,0.0
BGD,1998,5.2,24809407.6,7.9,-5446831.5,0,0.0
BGD,1999,4.7,22164336.6,7.8,-2645071.0,0,0.0
BGD,2000,5.3,34178719.3,8.6,12014382.699999996,0,0.0
BGD,2001,5.1,42274526.3,8.3,8095807.0,0,0.0
BGD,2002,3.8,66281812.8,9.2,24007286.5,0,0.0
BGD,2003,4.7,62574643.2,10.1,-3707169.599999994,0,0.0
BGD,2004,5.2,59823143.7,10.1,-2751499.5,0,0.0
BGD,2005,6.5,58307514.1,11.4,-1515629.6000000015,0,0.0
BGD,2006,6.7,54832241.5,12.7,-3475272.6000000015,0,0.0
BGD,2007,7.1,40933470.4,14.2,-13898771.100000001,0,0.0
BGD,2008,6.0,60016143.7,9.6,19082673.300000004,0,0.0
BGD,2009,5.0,49639115.9,9.4,-10377027.800000004,1,9.4
BGD,2010,5.6,11457786.6,10.6,-38181329.3,1,10.6
BGD,2011,6.5,50257106.2,9.5,38799319.6,1,9.5
BGD,2012,6.5,235301883.0,7.8,185044776.8,1,7.8
BGD,2013,6.0,502705537.7,7.8,267403654.7,1,7.8
BGD,2014,6.1,888201846.9,7.5,385496309.2,1,7.5
BGD,2015,6.6,919400207.8,7.0,31198360.899999976,1,7.0
BGD,2016,7.1,974528893.2,6.8,55128685.400000095,1,6.8
BGD,2017,6.6,1356992646.5,6.9,382463753.29999995,1,6.9
BGD,2018,7.3,3099125133.7,6.8,1742132487.1999998,1,6.8
BGD,2019,7.9,3599642567.1,6.1,500517433.4000001,1,6.1
BGD,2020,3.4,4571652948.5,2.3,972010381.4000001,1,2.3
BGD,2021,6.9,5260355930.8,8.6,688702982.3000002,1,8.6
BGD,2022,7.1,6053261612.8,3.1,792905682.0,1,3.1
BGD,2023,5.8,6729047937.8,5.4,675786325.0,1,5.4
BGD,2024,4.2,6629628481.1,5.0,-99419456.69999981,1,5.0
ETH,1981,0.0,22838085.6,5.1,-2136884.299999997,0,0.0
ETH,1982,1.0,22829789.5,9.0,-8296.10000000149,0,0.0
ETH,1983,7.8,23986522.3,10.8,1156732.8000000007,0,0.0
ETH,1984,-2.3,17258542.6,15.2,-6727979.699999999,0,0.0
ETH,1985,-11.4,19320409.4,13.5,2061866.799999997,0,0.0
ETH,1986,9.7,27088115.5,8.9,7767706.1000000015,0,0.0
ETH,1987,13.9,30645704.3,11.7,3557588.8000000007,0,0.0
ETH,1988,0.6,31581580.5,11.2,935876.1999999993,0,0.0
ETH,1989,-0.5,47568328.2,4.2,15986747.700000003,0,0.0
ETH,1990,2.6,67098394.5,3.9,19530066.299999997,0,0.0
ETH,1991,-7.2,71104872.0,10.2,4006477.5,0,0.0
ETH,1992,-8.9,70248188.4,14.3,-856683.599999994,0,0.0
ETH,1993,13.4,70005931.5,13.9,-242256.90000000596,0,0.0
ETH,1994,3.5,60961583.1,13.1,-9044348.399999999,0,0.0
ETH,1995,6.1,61268452.6,11.0,306869.5,0,0.0
ETH,1996,13.5,61314032.3,10.0,45579.69999999553,0,0.0
ETH,1997,2.8,61380611.1,9.3,66578.80000000447,0,0.0
ETH,1998,-4.2,61383171.5,7.9,2560.39999999851,0,0.0
ETH,1999,6.3,61597528.2,7.8,214356.70000000298,0,0.0
ETH,2000,9.8,61602728.9,8.6,5200.69999999553,0,0.0
ETH,2001,7.4,46343761.9,8.3,-15258967.0,0,0.0
ETH,2002,1.6,34302255.7,9.2,-12041506.199999996,0,0.0
