country,year,gdp_growth
PAK,1980,6.9
PAK,1981,6.2
PAK,1982,7.6
PAK,1983,6.8
PAK,1984,4.0
PAK,1985,8.7
PAK,1986,6.4
PAK,1987,5.8
PAK,1988,6.4
PAK,1989,4.8
PAK,1990,4.6
PAK,1991,5.1
PAK,1992,7.6
PAK,1993,2.1
PAK,1994,4.4
PAK,1995,5.1
PAK,1996,6.6
PAK,1997,1.7
PAK,1998,3.5
PAK,1999,4.2
PAK,2000,3.9
PAK,2001,3.6
PAK,2002,2.6
PAK,2003,5.2
PAK,2004,7.7
PAK,2005,8.0
PAK,2006,5.7
PAK,2007,5.1
PAK,2008,4.4
PAK,2009,1.1
PAK,2010,2.3
PAK,2011,3.2
PAK,2012,3.2
PAK,2013,3.9
PAK,2014,3.6
PAK,2015,3.8
PAK,2016,4.1
PAK,2017,4.6
PAK,2018,6.1
PAK,2019,3.1
PAK,2020,-0.9
PAK,2021,5.8
PAK,2022,6.2
PAK,2023,-0.2
PAK,2024,2.6
PAK,2025,3.1
PAK,2026,3.6
PAK,2027,3.5
PAK,2028,4.3
PAK,2029,4.5
PAK,2030,4.5
PAK,2031,4.5
AGO,1980,2.4
AGO,1981,-4.4
AGO,1982,0.0
AGO,1983,4.2
AGO,1984,6.0
AGO,1985,3.5
AGO,1986,2.9
AGO,1987,4.1
AGO,1988,6.1
AGO,1989,0.0
AGO,1990,-3.5
AGO,1991,12.1
AGO,1992,11.4
AGO,1993,11.0
AGO,1994,10.5
AGO,1995,10.4
AGO,1996,11.2
AGO,1997,7.3
AGO,1998,4.7
AGO,1999,2.2
AGO,2000,3.1
AGO,2001,4.2
AGO,2002,13.7
AGO,2003,3.5
AGO,2004,11.4
AGO,2005,14.1
AGO,2006,11.8
AGO,2007,13.0
AGO,2008,10.8
AGO,2009,2.0
AGO,2010,5.3
AGO,2011,3.6
AGO,2012,8.5
AGO,2013,4.9
AGO,2014,4.7
AGO,2015,0.8
AGO,2016,-1.7
AGO,2017,-0.1
AGO,2018,-0.6
AGO,2019,-0.2
AGO,2020,-4.0
AGO,2021,2.1
AGO,2022,4.2
AGO,2023,1.3
AGO,2024,5.0
AGO,2025,3.1
AGO,2026,2.3
AGO,2027,2.6
AGO,2028,2.8
AGO,2029,3.0
AGO,2030,3.0
AGO,2031,3.1
LKA,1980,5.8
LKA,1981,5.3
LKA,1982,5.2
LKA,1983,3.3
LKA,1984,6.7
LKA,1985,5.0
LKA,1986,4.3
LKA,1987,1.5
LKA,1988,2.7
LKA,1989,2.3
LKA,1990,6.2
LKA,1991,10.8
LKA,1992,-3.1
LKA,1993,7.5
LKA,1994,8.0
LKA,1995,6.1
LKA,1996,12.2
LKA,1997,10.3
LKA,1998,-1.6
LKA,1999,2.9
LKA,2000,8.4
LKA,2001,-1.9
LKA,2002,3.7
LKA,2003,5.9
LKA,2004,5.4
LKA,2005,6.2
LKA,2006,7.7
LKA,2007,6.8
LKA,2008,6.0
LKA,2009,3.5
LKA,2010,8.0
LKA,2011,8.7
LKA,2012,8.6
LKA,2013,4.1
LKA,2014,6.4
LKA,2015,4.2
LKA,2016,5.1
LKA,2017,6.5
LKA,2018,2.3
LKA,2019,-0.2
LKA,2020,-4.6
LKA,2021,4.2
LKA,2022,-7.3
LKA,2023,-2.3
LKA,2024,5.0
ETH,1980,4.0
ETH,1981,0.0
ETH,1982,1.0
ETH,1983,7.8
ETH,1984,-2.3
ETH,1985,-11.4
ETH,1986,9.7
ETH,1987,13.9
ETH,1988,0.6
ETH,1989,-0.5
ETH,1990,2.6
ETH,1991,-7.2
ETH,1992,-8.9
ETH,1993,13.4
ETH,1994,3.5
ETH,1995,6.1
ETH,1996,13.5
ETH,1997,2.8
ETH,1998,-4.2
ETH,1999,6.3
ETH,2000,9.8
ETH,2001,7.4
ETH,2002,1.6
ETH,2003,-2.1
ETH,2004,11.7
ETH,2005,12.6
ETH,2006,11.5
ETH,2007,11.8
ETH,2008,11.2
ETH,2009,10.0
ETH,2010,10.6
ETH,2011,11.4
ETH,2012,8.7
ETH,2013,9.9
ETH,2014,10.3
