ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Male,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2025,1.483
Australia,Male,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2025,0.239
Australia,Male,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2025,3.381
Australia,Male,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2025,91.048
Australia,Male,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2025,232.025
Australia,Male,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2025,419.023
Australia,Male,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2025,243.25
Australia,Male,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2025,351.684
Australia,Male,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2025,221.484
Australia,Male,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2025,221.569
Australia,Male,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2025,335.654
Australia,Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2025,309.407
Australia,Male,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2025,160.185
Australia,Male,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2025,183.482
Australia,Male,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2025,70.282
Australia,Male,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2025,352.367
Australia,Male,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2025,208.979
Australia,Male,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2025,70.591
Australia,Male,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2025,69.042
Australia,Male,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2025,78.79
Australia,Male,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2025,158.806
Australia,Male,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2025,32.903
Australia,Male,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2025,178.924
Australia,Male,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2025,338.955
Australia,Male,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2025,161.314
Australia,Male,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2025,156.244
Australia,Male,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2025,201.19
Australia,Male,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2025,6.883
Australia,Male,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2025,532.829
Australia,Male,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2025,365.099
Australia,Male,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2025,29.293
Australia,Male,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2025,264.929
Australia,Male,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2025,120.76
Australia,Male,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2025,158.7
Australia,Male,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2025,21.19
Australia,Male,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2025,537.337
Australia,Male,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2025,98.591
Australia,Male,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2025,67.55
Australia,Male,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2025,314.061
Australia,Male,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2025,107.53
Australia,Male,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2025,88.855
Australia,Female,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2025,0.288
Australia,Female,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2025,0.018
Australia,Female,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2025,0.557
Australia,Female,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2025,43.447
Australia,Female,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2025,228.804
