countryiso3code,country,date,value
AFE,Africa Eastern and Southern,2022,1679.32762166466
AFW,Africa Western and Central,2022,2138.47315259913
ARB,Arab World,2022,7950.35581975672
CSS,Caribbean small states,2022,17456.3084845676
CEB,Central Europe and the Baltics,2022,19530.1553232172
EAR,Early-demographic dividend,2022,4043.82776331568
EAS,East Asia & Pacific,2022,13139.2109813612
EAP,East Asia & Pacific (excluding high income),2022,10106.9935977814
TEA,East Asia & Pacific (IDA & IBRD countries),2022,10220.4774431567
EMU,Euro area,2022,41608.7123275598
ECS,Europe & Central Asia,2022,27913.5882331645
ECA,Europe & Central Asia (excluding high income),2022,7266.02243154199
TEC,Europe & Central Asia (IDA & IBRD countries),2022,11421.1364427001
EUU,European Union,2022,38066.8844892624
FCS,Fragile and conflict affected situations,2022,1850.91743054769
HPC,Heavily indebted poor countries (HIPC),2022,1121.48387311982
,High income,2022,46553.1150181383
IBD,IBRD only,2022,7699.23258826186
IBT,IDA & IBRD total,2022,6036.81374407089
IDB,IDA blend,2022,2234.83616206483
IDX,IDA only,2022,1332.31730178708
IDA,IDA total,2022,1647.52732460307
LTE,Late-demographic dividend,2022,12286.0846812169
LCN,Latin America & Caribbean,2022,9408.84820249156
LAC,Latin America & Caribbean (excluding high income),2022,9111.34927084769
TLA,Latin America & the Caribbean (IDA & IBRD countries),2022,9174.55690452428
LDC,Least developed countries: UN classification,2022,1299.36172423082
LMY,Low & middle income,2022,5741.78381882953
,Low income,2022,734.204117595357
,Lower middle income,2022,2493.61487371356
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2022,6430.53553485753
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,3015.7557973385
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,3010.19656726913
MIC,Middle income,2022,6248.00962014697
NAC,North America,2022,74535.6365392629
,Not classified,2022,
OED,OECD members,2022,43950.173710934
OSS,Other small states,2022,14320.7706776288
PSS,Pacific island small states,2022,3896.81060847355
PST,Post-demographic dividend,2022,50969.801641014
PRE,Pre-demographic dividend,2022,1770.15579032782
SST,Small states,2022,13636.4661190787
SAS,South Asia,2022,2385.08341896271
TSA,South Asia (IDA & IBRD),2022,2385.08341896271
SSF,Sub-Saharan Africa,2022,1865.11635260699
SSA,Sub-Saharan Africa (excluding high income),2022,1963.80330032374
TSS,Sub-Saharan Africa (IDA & IBRD countries),2022,1865.11635260699
,Upper middle income,2022,10324.5193124329
WLD,World,2022,12798.1658465319
