countryiso3code,country,date,value
AFE,Africa Eastern and Southern,2022,64.4871517904367
AFW,Africa Western and Central,2022,57.9878499444678
ARB,Arab World,2022,71.8760955992222
CSS,Caribbean small states,2022,72.8322921090607
CEB,Central Europe and the Baltics,2022,76.6522987292583
EAR,Early-demographic dividend,2022,71.4304552508694
EAS,East Asia & Pacific,2022,76.6767167147452
EAP,East Asia & Pacific (excluding high income),2022,75.9325409436903
TEA,East Asia & Pacific (IDA & IBRD countries),2022,75.9610347461336
EMU,Euro area,2022,81.6229719062905
ECS,Europe & Central Asia,2022,77.834452247983
ECA,Europe & Central Asia (excluding high income),2022,74.5731684190474
TEC,Europe & Central Asia (IDA & IBRD countries),2022,74.1883654842503
EUU,European Union,2022,80.7133260356871
FCS,Fragile and conflict affected situations,2022,62.702271566254
HPC,Heavily indebted poor countries (HIPC),2022,63.8404661926623
,High income,2022,79.4267769342303
IBD,IBRD only,2022,74.2512821129351
IBT,IDA & IBRD total,2022,71.6775988813721
IDB,IDA blend,2022,62.1288641416852
IDX,IDA only,2022,66.3600754986121
IDA,IDA total,2022,64.8823000336808
LTE,Late-demographic dividend,2022,76.954367313865
LCN,Latin America & Caribbean,2022,74.6472095421659
LAC,Latin America & Caribbean (excluding high income),2022,74.4897262626476
TLA,Latin America & the Caribbean (IDA & IBRD countries),2022,74.5684293540859
LDC,Least developed countries: UN classification,2022,65.7632017862259
LMY,Low & middle income,2022,71.6849259477066
,Low income,2022,63.4583410155387
,Lower middle income,2022,69.3010946755529
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2022,71.6917293154863
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,71.0055315443397
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,70.965432550888
MIC,Middle income,2022,72.5172020330295
NAC,North America,2022,77.8170599153732
,Not classified,2022,
OED,OECD members,2022,79.5170042308814
OSS,Other small states,2022,72.9062214171014
PSS,Pacific island small states,2022,69.1004348993561
PST,Post-demographic dividend,2022,80.1924721633692
PRE,Pre-demographic dividend,2022,61.3833052969468
SST,Small states,2022,72.380297225352
SAS,South Asia,2022,72.0115731308447
TSA,South Asia (IDA & IBRD),2022,72.0115731308447
