Growth Rate of Per Capita GDP at constant 2020 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
4,Afghanistan,-2.7,-18.4,0.3,2.8,3.7,3.2,-7.0,5.3,-2.9,-0.2,12.7,10.8,5.6,-0.6,-1.8,3.1,-10.0,-9.4,-9.8,-4.5,-12.3,-6.3,-33.3,-28.5,42.8,-9.0,-8.7,-8.1,-8.3,-6.6,-6.4,56.6,1.0,-2.0,5.3,4.0,23.9,-9.3,12.2,-0.5,4.0,5.7,2.1,-1.4,-5.5,0.2,-1.1,-1.1,7.5,-5.1,-22.6,-7.6,0.1,-1.1
8,Albania,1.5,1.5,1.6,1.6,1.7,1.7,1.6,2.0,1.8,1.2,3.7,0.9,-0.9,-3.2,-0.3,3.5,-2.7,-3.4,8.2,-10.5,-28.1,-7.2,9.7,8.6,3.0,7.8,-11.3,9.0,13.0,8.2,9.5,5.1,5.9,5.9,5.9,6.9,7.5,8.0,3.8,4.1,3.1,1.0,1.8,2.4,2.4,3.9,3.3,3.8,2.4,-2.9,9.8,5.6,4.6,4.8
12,Algeria,-11.5,19.5,1.9,1.3,2.1,1.5,5.5,7.1,4.3,-2.3,-0.3,2.9,1.9,2.1,0.2,-2.9,-3.7,-3.7,1.7,-1.7,-3.5,-0.6,-4.4,-3.1,1.7,2.1,0.8,5.0,3.3,3.9,3.2,4.0,5.1,3.1,3.8,1.3,1.4,0.6,-0.8,2.8,1.0,0.4,0.5,2.0,1.1,1.8,-0.5,-0.5,-0.9,-6.6,2.1,2.0,2.5,2.2
20,Andorra,-2.5,1.0,0.9,-0.9,-5.4,-2.5,-2.7,-3.6,-4.5,-2.0,-3.9,-2.9,-2.7,-2.3,-1.3,-1.1,1.3,1.3,2.3,-0.1,-4.8,-5.0,-5.8,0.3,3.9,2.5,7.9,2.1,3.6,1.2,7.8,3.5,4.0,1.1,1.2,2.0,-1.3,-7.4,-5.7,1.9,3.7,-3.8,-1.4,4.5,3.6,3.7,-1.8,-0.3,0.3,-12.2,6.9,7.7,1.1,2.0
24,Angola,3.6,-2.8,4.5,-0.4,-8.2,-8.3,-2.5,-8.5,-3.2,-1.2,-7.8,-3.6,0.4,2.1,-0.2,-0.5,3.3,2.9,-2.2,-3.0,-1.5,-8.1,-25.8,-1.1,12.1,10.7,4.6,2.1,-0.3,0.5,0.6,11.6,-0.1,7.5,10.1,7.8,8.9,6.7,-1.8,1.3,-0.4,4.4,0.9,0.8,-2.8,-5.2,-3.6,-4.0,-3.5,-7.1,-1.1,1.0,-1.8,1.3
660,Anguilla,-3.4,10.7,3.5,-0.7,3.1,1.2,-0.1,7.2,9.2,4.7,3.5,-1.5,-0.2,3.0,9.4,8.6,6.6,11.3,4.4,20.9,-21.0,24.7,4.6,5.3,-4.8,-0.1,7.8,7.5,0.9,-1.5,-1.9,-6.7,4.4,12.4,10.0,16.5,11.9,-2.7,-19.7,-6.8,1.6,-3.4,0.2,1.7,1.6,-5.5,-7.0,5.8,6.0,-29.5,13.6,32.0,-0.3,0.5
28,Antigua and Barbuda,7.1,7.6,9.0,3.9,-5.2,-8.8,7.1,3.2,10.4,6.3,4.7,0.2,6.6,7.5,8.2,8.9,9.3,8.1,5.7,3.4,1.7,-0.4,3.4,4.7,-6.2,4.4,3.3,2.8,1.9,-0.5,-4.7,1.6,4.8,4.2,6.7,11.4,10.4,1.7,-11.2,-6.9,-0.8,2.3,-1.5,1.4,0.7,3.5,2.1,6.2,2.7,-19.3,7.6,8.5,2.8,2.0
32,Argentina,2.1,0.5,2.1,3.7,-2.2,-1.6,4.7,-4.8,5.3,-0.2,-6.9,-4.7,2.5,0.4,-8.4,5.5,1.0,-3.5,-8.4,-2.8,8.9,8.8,4.8,4.4,-4.1,4.2,6.8,2.6,-4.5,-1.9,-5.5,-11.8,7.7,7.9,7.7,6.9,7.9,3.0,-6.9,9.0,4.9,-2.0,1.4,-3.5,1.7,-3.0,1.9,-3.4,-2.7,-10.3,10.1,5.8,-2.1,-1.7
51,Armenia,,,,,,,,,,,,,,,,,,,,,-13.2,-41.1,-5.7,8.1,8.7,6.8,4.4,8.6,4.6,7.3,11.0,16.1,14.7,11.1,14.5,13.8,14.3,7.5,-13.7,2.7,4.9,7.2,3.3,3.6,3.3,0.3,7.7,5.4,7.9,-6.7,6.6,12.2,6.0,4.8
533,Aruba,9.4,8.9,8.1,7.8,7.8,8.3,8.7,8.7,8.8,8.8,8.7,8.4,8.3,8.4,8.8,9.2,16.5,19.0,11.8,2.3,4.5,2.3,4.0,4.7,-0.8,-2.1,4.3,3.3,-2.0,1.8,-3.3,-1.1,-0.5,6.5,0.1,-0.2,2.1,-2.5,-10.9,-3.9,0.3,-2.4,5.9,0.6,2.8,0.5,2.7,2.5,0.6,-24.2,14.5,4.9,7.6,6.7
