country_code,year,country,health_spending_per_capita
AFE,2022,Africa Eastern and Southern,92.0352883967091
AFE,2021,Africa Eastern and Southern,92.3503331753643
AFE,2020,Africa Eastern and Southern,81.4461401594807
AFE,2019,Africa Eastern and Southern,87.0398773156759
AFE,2018,Africa Eastern and Southern,89.9693693736129
AFE,2017,Africa Eastern and Southern,89.8672604899708
AFE,2016,Africa Eastern and Southern,85.6874598126392
AFE,2015,Africa Eastern and Southern,90.7980923306796
AFW,2022,Africa Western and Central,74.4412528236061
AFW,2021,Africa Western and Central,72.6328495675799
AFW,2020,Africa Western and Central,64.6241898845638
AFW,2019,Africa Western and Central,59.2671342584212
AFW,2018,Africa Western and Central,56.2860408736151
AFW,2017,Africa Western and Central,58.5098170485272
AFW,2016,Africa Western and Central,61.7002428533635
AFW,2015,Africa Western and Central,70.7050018857143
ARB,2022,Arab World,348.767262238545
ARB,2021,Arab World,336.587194733694
ARB,2020,Arab World,327.069625588704
ARB,2019,Arab World,326.670945661256
ARB,2018,Arab World,325.592164585057
ARB,2017,Arab World,307.126617877282
ARB,2016,Arab World,311.947978507094
ARB,2015,Arab World,312.609883146077
CSS,2022,Caribbean small states,915.955448715908
CSS,2021,Caribbean small states,851.953010679747
CSS,2020,Caribbean small states,796.157980008992
CSS,2019,Caribbean small states,820.239812214279
CSS,2018,Caribbean small states,790.748049253674
CSS,2017,Caribbean small states,788.582309385435
CSS,2016,Caribbean small states,747.226086126681
CSS,2015,Caribbean small states,752.904794394726
CEB,2022,Central Europe and the Baltics,1374.1600690946
CEB,2021,Central Europe and the Baltics,1412.78214453503
CEB,2020,Central Europe and the Baltics,1187.60462614471
CEB,2019,Central Europe and the Baltics,1095.4614214139
CEB,2018,Central Europe and the Baltics,1057.78591814118
CEB,2017,Central Europe and the Baltics,941.309979111415
CEB,2016,Central Europe and the Baltics,854.458742634355
CEB,2015,Central Europe and the Baltics,817.142104856243
EAR,2022,Early-demographic dividend,191.392926293627
EAR,2021,Early-demographic dividend,186.693713270936
EAR,2020,Early-demographic dividend,162.139748994011
EAR,2019,Early-demographic dividend,159.821297045575
EAR,2018,Early-demographic dividend,159.6997596475
EAR,2017,Early-demographic dividend,166.136635212773
EAR,2016,Early-demographic dividend,161.00720510291
EAR,2015,Early-demographic dividend,165.201062958564
EAS,2022,East Asia & Pacific,905.114818668488
EAS,2021,East Asia & Pacific,899.287259231387
EAS,2020,East Asia & Pacific,799.468053130348
EAS,2019,East Asia & Pacific,754.673740778479
EAS,2018,East Asia & Pacific,723.925473826868
EAS,2017,East Asia & Pacific,669.232674974526
EAS,2016,East Asia & Pacific,637.056055933574
EAS,2015,East Asia & Pacific,604.254750654019
EAP,2022,East Asia & Pacific (excluding high income),566.030286298373
EAP,2021,East Asia & Pacific (excluding high income),515.527340657811
EAP,2020,East Asia & Pacific (excluding high income),446.453873085913
EAP,2019,East Asia & Pacific (excluding high income),414.609681820139
EAP,2018,East Asia & Pacific (excluding high income),388.610220413854
EAP,2017,East Asia & Pacific (excluding high income),342.752366201755
EAP,2016,East Asia & Pacific (excluding high income),312.578961695984
EAP,2015,East Asia & Pacific (excluding high income),307.270504529694
TEA,2022,East Asia & Pacific (IDA & IBRD countries),566.052535523033
TEA,2021,East Asia & Pacific (IDA & IBRD countries),515.545559248001
TEA,2020,East Asia & Pacific (IDA & IBRD countries),446.471116609362
TEA,2019,East Asia & Pacific (IDA & IBRD countries),414.62703931563
TEA,2018,East Asia & Pacific (IDA & IBRD countries),388.627016996157
TEA,2017,East Asia & Pacific (IDA & IBRD countries),342.769055060083
TEA,2016,East Asia & Pacific (IDA & IBRD countries),312.594700652347
TEA,2015,East Asia & Pacific (IDA & IBRD countries),307.285016378459
EMU,2022,Euro area,4440.78663278001
EMU,2021,Euro area,4808.5266745298
EMU,2020,Euro area,4267.96867224499
EMU,2019,Euro area,3990.7206471892
EMU,2018,Euro area,4058.59817226657
EMU,2017,Euro area,3768.18263728793
EMU,2016,Euro area,3572.5247458986
EMU,2015,Euro area,3509.50675302342
ECS,2022,Europe & Central Asia,2811.91545037396
ECS,2021,Europe & Central Asia,2865.36204038907
ECS,2020,Europe & Central Asia,2527.45161423102
ECS,2019,Europe & Central Asia,2329.10512080466
ECS,2018,Europe & Central Asia,2346.577585248
ECS,2017,Europe & Central Asia,2194.38740036423
ECS,2016,Europe & Central Asia,2095.79454774503
ECS,2015,Europe & Central Asia,2105.26351233221
ECA,2022,Europe & Central Asia (excluding high income),366.115150801706
ECA,2021,Europe & Central Asia (excluding high income),373.799664319144
ECA,2020,Europe & Central Asia (excluding high income),313.492738787445
ECA,2019,Europe & Central Asia (excluding high income),296.599975653494
ECA,2018,Europe & Central Asia (excluding high income),282.063525018229
ECA,2017,Europe & Central Asia (excluding high income),288.640304992191
ECA,2016,Europe & Central Asia (excluding high income),289.020041283304
ECA,2015,Europe & Central Asia (excluding high income),294.269916283956
TEC,2022,Europe & Central Asia (IDA & IBRD countries),732.6197329168
TEC,2021,Europe & Central Asia (IDA & IBRD countries),641.692030073061
TEC,2020,Europe & Central Asia (IDA & IBRD countries),565.47187430609
TEC,2019,Europe & Central Asia (IDA & IBRD countries),499.118925005059
TEC,2018,Europe & Central Asia (IDA & IBRD countries),472.92294572173
TEC,2017,Europe & Central Asia (IDA & IBRD countries),454.56238580521
TEC,2016,Europe & Central Asia (IDA & IBRD countries),406.363821785837
TEC,2015,Europe & Central Asia (IDA & IBRD countries),416.867867300176
EUU,2022,European Union,3922.69600424695
EUU,2021,European Union,4245.26027453482
EUU,2020,European Union,3749.13990498742
EUU,2019,European Union,3498.76733094227
EUU,2018,European Union,3552.94344307037
EUU,2017,European Union,3295.21181360212
EUU,2016,European Union,3117.18625390947
EUU,2015,European Union,3056.00162327666
FCS,2022,Fragile and conflict affected situations,72.8781507440048
FCS,2021,Fragile and conflict affected situations,82.7020795183441
FCS,2020,Fragile and conflict affected situations,74.7932484380231
FCS,2019,Fragile and conflict affected situations,75.4473472281259
FCS,2018,Fragile and conflict affected situations,77.8752643024424
FCS,2017,Fragile and conflict affected situations,71.1234608325199
FCS,2016,Fragile and conflict affected situations,71.7605506010494
FCS,2015,Fragile and conflict affected situations,74.2365842183506
HPC,2022,Heavily indebted poor countries (HIPC),50.2027951771848
HPC,2021,Heavily indebted poor countries (HIPC),51.3398992636346
HPC,2020,Heavily indebted poor countries (HIPC),47.7717071935412
HPC,2019,Heavily indebted poor countries (HIPC),44.6460600242102
HPC,2018,Heavily indebted poor countries (HIPC),43.357295693687
HPC,2017,Heavily indebted poor countries (HIPC),44.2160443671853
HPC,2016,Heavily indebted poor countries (HIPC),45.4245650179442
HPC,2015,Heavily indebted poor countries (HIPC),46.126531285041
,2022,High income,5837.66878621092
,2021,High income,5898.07593003976
,2020,High income,5459.20363853139
,2019,High income,5007.54151471026
,2018,High income,4909.23793582286
,2017,High income,4675.55802873251
,2016,High income,4508.97729409936
,2015,High income,4379.01496960917
IBD,2022,IBRD only,447.260654903885
IBD,2021,IBRD only,409.708232311971
IBD,2020,IBRD only,356.808048107177
IBD,2019,IBRD only,348.259188407069
IBD,2018,IBRD only,336.657577777028
IBD,2017,IBRD only,323.348313106482
IBD,2016,IBRD only,295.17943343273
IBD,2015,IBRD only,297.690339285266
IBT,2022,IDA & IBRD total,340.376152313893
IBT,2021,IDA & IBRD total,315.350586299164
IBT,2020,IDA & IBRD total,275.725000062357
IBT,2019,IDA & IBRD total,269.77161578365
IBT,2018,IDA & IBRD total,262.118110248822
IBT,2017,IDA & IBRD total,252.498843668487
IBT,2016,IDA & IBRD total,232.787477567481
IBT,2015,IDA & IBRD total,235.724630549065
IDB,2022,IDA blend,74.7290098121786
IDB,2021,IDA blend,73.1611514380078
IDB,2020,IDA blend,62.2351683824119
IDB,2019,IDA blend,59.8472026609195
IDB,2018,IDA blend,59.3786192623958
IDB,2017,IDA blend,61.2120673777082
IDB,2016,IDA blend,63.531177139193
IDB,2015,IDA blend,68.2794383868766
IDX,2022,IDA only,52.4741092390193
IDX,2021,IDA only,55.7221807591881
IDX,2020,IDA only,50.0169312070439
IDX,2019,IDA only,47.9652618635297
IDX,2018,IDA only,48.7481421294615
IDX,2017,IDA only,46.8277590128979
IDX,2016,IDA only,46.8621413322107
IDX,2015,IDA only,47.3326046690722
IDA,2022,IDA total,60.2541339650288
IDA,2021,IDA total,61.8279025388772
IDA,2020,IDA total,54.3015634658814
IDA,2019,IDA total,52.1405597947966
IDA,2018,IDA total,52.4918459771618
IDA,2017,IDA total,51.9024108487341
IDA,2016,IDA total,52.7923725982563
IDA,2015,IDA total,54.7993387033524
LTE,2022,Late-demographic dividend,757.7803277233
LTE,2021,Late-demographic dividend,685.250208787111
LTE,2020,Late-demographic dividend,599.999591287701
LTE,2019,Late-demographic dividend,578.29718987738
LTE,2018,Late-demographic dividend,552.925978121776
LTE,2017,Late-demographic dividend,508.245446456403
LTE,2016,Late-demographic dividend,453.387708419731
LTE,2015,Late-demographic dividend,449.515822465305
LCN,2022,Latin America & Caribbean,732.077211521163
LCN,2021,Latin America & Caribbean,673.508345214622
LCN,2020,Latin America & Caribbean,590.885593157634
LCN,2019,Latin America & Caribbean,661.879991697161
LCN,2018,Latin America & Caribbean,678.196454377282
LCN,2017,Latin America & Caribbean,739.436479369294
LCN,2016,Latin America & Caribbean,655.698700817697
LCN,2015,Latin America & Caribbean,682.328296273033
LAC,2022,Latin America & Caribbean (excluding high income),712.698532152493
