country_code,year,country,life_expectancy
AFE,2022,Africa Eastern and Southern,64.4871517904367
AFE,2021,Africa Eastern and Southern,62.9799991857494
AFE,2020,Africa Eastern and Southern,63.7664840026943
AFE,2019,Africa Eastern and Southern,63.8572612837043
AFE,2018,Africa Eastern and Southern,63.3306913582336
AFE,2017,Africa Eastern and Southern,62.5912750961501
AFE,2016,Africa Eastern and Southern,62.1679813169199
AFE,2015,Africa Eastern and Southern,61.713030523495
AFW,2022,Africa Western and Central,57.9878499444678
AFW,2021,Africa Western and Central,57.3627361321845
AFW,2020,Africa Western and Central,57.364735967395
AFW,2019,Africa Western and Central,57.149956341607
AFW,2018,Africa Western and Central,57.0371042874016
AFW,2017,Africa Western and Central,56.6266215613676
AFW,2016,Africa Western and Central,56.3925982370859
AFW,2015,Africa Western and Central,56.0385189224052
ARB,2022,Arab World,71.8760955992222
ARB,2021,Arab World,70.4041144889903
ARB,2020,Arab World,70.7265588103862
ARB,2019,Arab World,71.8398932674972
ARB,2018,Arab World,71.4312997859137
ARB,2017,Arab World,71.1128560080646
ARB,2016,Arab World,70.8964881164428
ARB,2015,Arab World,70.6580123695192
CSS,2022,Caribbean small states,72.8322921090607
CSS,2021,Caribbean small states,69.9228107471769
CSS,2020,Caribbean small states,71.9394359303317
CSS,2019,Caribbean small states,72.1292604830284
CSS,2018,Caribbean small states,72.2210854022703
CSS,2017,Caribbean small states,72.1731041595093
CSS,2016,Caribbean small states,72.0516361154512
CSS,2015,Caribbean small states,71.8641021665476
CEB,2022,Central Europe and the Baltics,76.6522987292583
CEB,2021,Central Europe and the Baltics,74.7232827859077
CEB,2020,Central Europe and the Baltics,76.0162701269145
CEB,2019,Central Europe and the Baltics,77.2659141936307
CEB,2018,Central Europe and the Baltics,76.9764380835075
CEB,2017,Central Europe and the Baltics,76.929788715597
CEB,2016,Central Europe and the Baltics,76.9703062304413
CEB,2015,Central Europe and the Baltics,76.5755119772504
EAR,2022,Early-demographic dividend,71.4304552508694
EAR,2021,Early-demographic dividend,68.1790994839634
EAR,2020,Early-demographic dividend,69.8801308490982
EAR,2019,Early-demographic dividend,70.8424064605001
EAR,2018,Early-demographic dividend,70.5486659921504
EAR,2017,Early-demographic dividend,70.2729949393554
EAR,2016,Early-demographic dividend,69.9484837084835
EAR,2015,Early-demographic dividend,69.6305484421664
EAS,2022,East Asia & Pacific,76.6767167147452
EAS,2021,East Asia & Pacific,76.152941315904
EAS,2020,East Asia & Pacific,76.5433946923267
EAS,2019,East Asia & Pacific,76.5862412994962
EAS,2018,East Asia & Pacific,76.3914229383171
EAS,2017,East Asia & Pacific,76.0789923585537
EAS,2016,East Asia & Pacific,75.9870166732102
EAS,2015,East Asia & Pacific,75.7926010192992
EAP,2022,East Asia & Pacific (excluding high income),75.9325409436903
EAP,2021,East Asia & Pacific (excluding high income),75.2781418410849
EAP,2020,East Asia & Pacific (excluding high income),75.6976393295064
EAP,2019,East Asia & Pacific (excluding high income),75.7689690321509
EAP,2018,East Asia & Pacific (excluding high income),75.57828618156
EAP,2017,East Asia & Pacific (excluding high income),75.2396714880306
EAP,2016,East Asia & Pacific (excluding high income),75.1559117663434
EAP,2015,East Asia & Pacific (excluding high income),74.9511243848739
TEA,2022,East Asia & Pacific (IDA & IBRD countries),75.9610347461336
TEA,2021,East Asia & Pacific (IDA & IBRD countries),75.3009806060199
TEA,2020,East Asia & Pacific (IDA & IBRD countries),75.7338497054699
TEA,2019,East Asia & Pacific (IDA & IBRD countries),75.8042877234534
TEA,2018,East Asia & Pacific (IDA & IBRD countries),75.6101241544348
TEA,2017,East Asia & Pacific (IDA & IBRD countries),75.2671640185859
TEA,2016,East Asia & Pacific (IDA & IBRD countries),75.1832269955477
TEA,2015,East Asia & Pacific (IDA & IBRD countries),74.9777768374826
EMU,2022,Euro area,81.6229719062905
EMU,2021,Euro area,81.5839330415712
EMU,2020,Euro area,81.4873571657503
EMU,2019,Euro area,82.2804211551829
EMU,2018,Euro area,82.0027602577719
EMU,2017,Euro area,81.8838037060629
EMU,2016,Euro area,81.907455420636
EMU,2015,Euro area,81.5192696796633
ECS,2022,Europe & Central Asia,77.834452247983
ECS,2021,Europe & Central Asia,76.72864297207
ECS,2020,Europe & Central Asia,77.1754906029407
ECS,2019,Europe & Central Asia,78.3038716113385
ECS,2018,Europe & Central Asia,78.0318405978087
ECS,2017,Europe & Central Asia,77.8990151719065
ECS,2016,Europe & Central Asia,77.6812816553928
ECS,2015,Europe & Central Asia,77.330938408387
ECA,2022,Europe & Central Asia (excluding high income),74.5731684190474
ECA,2021,Europe & Central Asia (excluding high income),72.8823762052943
ECA,2020,Europe & Central Asia (excluding high income),73.5536868675669
ECA,2019,Europe & Central Asia (excluding high income),74.8158340567546
ECA,2018,Europe & Central Asia (excluding high income),74.5927989243036
ECA,2017,Europe & Central Asia (excluding high income),74.4033539029016
ECA,2016,Europe & Central Asia (excluding high income),74.0313769065099
ECA,2015,Europe & Central Asia (excluding high income),73.755408258866
TEC,2022,Europe & Central Asia (IDA & IBRD countries),74.1883654842503
TEC,2021,Europe & Central Asia (IDA & IBRD countries),72.1506406826172
TEC,2020,Europe & Central Asia (IDA & IBRD countries),73.1492512511888
TEC,2019,Europe & Central Asia (IDA & IBRD countries),74.590946255432
TEC,2018,Europe & Central Asia (IDA & IBRD countries),74.2976622013592
TEC,2017,Europe & Central Asia (IDA & IBRD countries),74.1318681774556
TEC,2016,Europe & Central Asia (IDA & IBRD countries),73.6902109808946
TEC,2015,Europe & Central Asia (IDA & IBRD countries),73.3408132950813
EUU,2022,European Union,80.7133260356871
EUU,2021,European Union,80.3071964400875
EUU,2020,European Union,80.4414754678551
EUU,2019,European Union,81.3194524901835
EUU,2018,European Union,81.0317510064821
EUU,2017,European Union,80.9301511681956
EUU,2016,European Union,80.9529785979391
EUU,2015,European Union,80.5707965259
FCS,2022,Fragile and conflict affected situations,62.702271566254
FCS,2021,Fragile and conflict affected situations,61.6086810439385
FCS,2020,Fragile and conflict affected situations,62.0663682854031
FCS,2019,Fragile and conflict affected situations,62.1379545505037
FCS,2018,Fragile and conflict affected situations,61.7825083062786
FCS,2017,Fragile and conflict affected situations,61.2296826870125
FCS,2016,Fragile and conflict affected situations,60.9861836667017
FCS,2015,Fragile and conflict affected situations,60.7449931085508
HPC,2022,Heavily indebted poor countries (HIPC),63.8404661926623
HPC,2021,Heavily indebted poor countries (HIPC),62.5314653172853
HPC,2020,Heavily indebted poor countries (HIPC),63.0728058249774
HPC,2019,Heavily indebted poor countries (HIPC),63.089861994107
HPC,2018,Heavily indebted poor countries (HIPC),62.7986163404611
HPC,2017,Heavily indebted poor countries (HIPC),62.3152990434581
HPC,2016,Heavily indebted poor countries (HIPC),62.0038914309195
HPC,2015,Heavily indebted poor countries (HIPC),61.5618981364159
,2022,High income,79.4267769342303
,2021,High income,78.7981627051457
,2020,High income,79.2041448995884
,2019,High income,80.1992640609664
,2018,High income,79.9666388096738
,2017,High income,79.8536254138921
,2016,High income,79.7243121172073
,2015,High income,79.5243189639773
IBD,2022,IBRD only,74.2512821129351
IBD,2021,IBRD only,71.974203378406
IBD,2020,IBRD only,73.2951356970762
IBD,2019,IBRD only,74.031271888226
IBD,2018,IBRD only,73.794943952938
IBD,2017,IBRD only,73.4857607809887
IBD,2016,IBRD only,73.2592309044272
IBD,2015,IBRD only,73.0328490236397
IBT,2022,IDA & IBRD total,71.6775988813721
IBT,2021,IDA & IBRD total,69.6679287075032
IBT,2020,IDA & IBRD total,70.7488503512362
IBT,2019,IDA & IBRD total,71.3939314839846
IBT,2018,IDA & IBRD total,71.1530163508746
IBT,2017,IDA & IBRD total,70.8308974097559
IBT,2016,IDA & IBRD total,70.6140486514544
IBT,2015,IDA & IBRD total,70.3717214077022
IDB,2022,IDA blend,62.1288641416852
IDB,2021,IDA blend,60.876535738179
IDB,2020,IDA blend,60.818006614062
IDB,2019,IDA blend,61.3259973798573
IDB,2018,IDA blend,61.0740542759518
IDB,2017,IDA blend,60.818392907263
IDB,2016,IDA blend,60.5761664527178
IDB,2015,IDA blend,60.2944946354402
IDX,2022,IDA only,66.3600754986121
IDX,2021,IDA only,64.8765306607314
IDX,2020,IDA only,65.4116059350943
IDX,2019,IDA only,65.582913848475
IDX,2018,IDA only,65.1729422228289
IDX,2017,IDA only,64.6099332119955
IDX,2016,IDA only,64.3102000912619
IDX,2015,IDA only,63.8821918937357
IDA,2022,IDA total,64.8823000336808
IDA,2021,IDA total,63.4774236571682
IDA,2020,IDA total,63.8023574072865
IDA,2019,IDA total,64.0885690256803
IDA,2018,IDA total,63.7309649694635
IDA,2017,IDA total,63.2737435487005
IDA,2016,IDA total,62.9919892121429
IDA,2015,IDA total,62.613597618261
LTE,2022,Late-demographic dividend,76.954367313865
LTE,2021,Late-demographic dividend,76.3060136977083
LTE,2020,Late-demographic dividend,76.6935638074913
LTE,2019,Late-demographic dividend,76.9979606258316
LTE,2018,Late-demographic dividend,76.7781489421434
LTE,2017,Late-demographic dividend,76.4174343501022
LTE,2016,Late-demographic dividend,76.2928997245812
LTE,2015,Late-demographic dividend,76.0762328807769
LCN,2022,Latin America & Caribbean,74.6472095421659
LCN,2021,Latin America & Caribbean,71.8141762189306
LCN,2020,Latin America & Caribbean,73.1889367681402
LCN,2019,Latin America & Caribbean,75.2042598654921
LCN,2018,Latin America & Caribbean,75.052717198381
LCN,2017,Latin America & Caribbean,74.8318087892113
LCN,2016,Latin America & Caribbean,74.6774848833781
LCN,2015,Latin America & Caribbean,74.7432221893097
LAC,2022,Latin America & Caribbean (excluding high income),74.4897262626476
LAC,2021,Latin America & Caribbean (excluding high income),71.4377016432982
LAC,2020,Latin America & Caribbean (excluding high income),72.8759217271338
LAC,2019,Latin America & Caribbean (excluding high income),75.0513524613511
LAC,2018,Latin America & Caribbean (excluding high income),74.8906731016397
LAC,2017,Latin America & Caribbean (excluding high income),74.7006534427421
LAC,2016,Latin America & Caribbean (excluding high income),74.5306460760941
LAC,2015,Latin America & Caribbean (excluding high income),74.5553955667316
TLA,2022,Latin America & the Caribbean (IDA & IBRD countries),74.5684293540859
TLA,2021,Latin America & the Caribbean (IDA & IBRD countries),71.7449274626405
TLA,2020,Latin America & the Caribbean (IDA & IBRD countries),73.0747493617473
TLA,2019,Latin America & the Caribbean (IDA & IBRD countries),75.1319711493442
TLA,2018,Latin America & the Caribbean (IDA & IBRD countries),74.9760978010797
TLA,2017,Latin America & the Caribbean (IDA & IBRD countries),74.7614101353626
TLA,2016,Latin America & the Caribbean (IDA & IBRD countries),74.5894794269073
TLA,2015,Latin America & the Caribbean (IDA & IBRD countries),74.6505904118153
LDC,2022,Least developed countries: UN classification,65.7632017862259
LDC,2021,Least developed countries: UN classification,64.2674143744269
LDC,2020,Least developed countries: UN classification,64.8324945516306
LDC,2019,Least developed countries: UN classification,64.9725014356556
LDC,2018,Least developed countries: UN classification,64.6023317246507
LDC,2017,Least developed countries: UN classification,64.0340553688659
LDC,2016,Least developed countries: UN classification,63.7237908648278
LDC,2015,Least developed countries: UN classification,63.3049798787451
LMY,2022,Low & middle income,71.6849259477066
LMY,2021,Low & middle income,69.6714349467729
LMY,2020,Low & middle income,70.7483566757416
LMY,2019,Low & middle income,71.3694923345361
LMY,2018,Low & middle income,71.1341707290628
LMY,2017,Low & middle income,70.8080047482829
LMY,2016,Low & middle income,70.6059453671367
LMY,2015,Low & middle income,70.3675172346245
,2022,Low income,63.4583410155387
,2021,Low income,62.3801274289699
,2020,Low income,62.8183623879662
,2019,Low income,62.7975396947089
,2018,Low income,62.3400968181546
,2017,Low income,61.5796648683271
,2016,Low income,61.4018192735169
,2015,Low income,60.9922916353431
,2022,Lower middle income,69.3010946755529
,2021,Lower middle income,66.3662902978306
,2020,Lower middle income,68.040356336938
,2019,Lower middle income,68.5574256254118
,2018,Lower middle income,68.2810033644819
,2017,Lower middle income,67.9952915350318
,2016,Lower middle income,67.679193904199
,2015,Lower middle income,67.3495071977304
