symbol,date,open,high,low,close,volume
AAPL,2026-05-29,311.77,315.0,309.53,312.06,70026752
ACHR,2026-05-29,6.71,6.83,6.39,6.81,56889622
AEVA,2026-05-29,25.7,28.61,25.7,28.18,2535364
AMD,2026-05-29,520.8,522.0,503.43,516.1,30803236
ASTS,2026-05-29,113.46,115.5,105.37,113.41,54954386
CAMT,2026-05-29,176.03,176.68,169.19,171.66,302938
DELL,2026-05-29,418.0,429.15,402.27,420.91,41832954
GCT,2026-05-29,37.08,37.55,35.5,36.04,912648
GLXY,2026-05-29,29.59,30.11,28.53,29.58,5588081
GOOGL,2026-05-29,385.24,385.24,378.46,380.34,44415846
JOBY,2026-05-29,12.15,12.2,11.43,11.9,31381871
LEU,2026-05-29,187.0,188.2,176.11,182.47,579453
LITE,2026-05-29,860.68,869.0,822.5,854.96,6363965
LUNR,2026-05-29,42.65,43.88,38.77,43.83,19813901
MRVL,2026-05-29,204.44,208.76,199.2,205.0,34024746
MU,2026-05-29,957.0,981.0,940.51,971.0,60498561
NBIS,2026-05-29,227.86,233.6,210.4,231.09,23748666
NNOX,2026-05-29,1.94,1.97,1.92,1.92,1224268
NVDA,2026-05-29,214.57,217.86,211.13,211.14,289410623
QCOM,2026-05-29,250.19,259.92,247.51,251.02,28781844
RGTI,2026-05-29,26.45,26.56,24.43,25.54,61186089
RKLB,2026-05-29,139.94,144.0,134.05,143.48,34878622
RXRX,2026-05-29,3.44,3.68,3.35,3.59,29983555
SDGR,2026-05-29,14.16,15.44,13.94,15.2,2346706
SEZL,2026-05-29,120.08,120.11,115.0,118.15,544857
SNDK,2026-05-29,1682.0,1708.83,1641.08,1694.98,8751130
TEM,2026-05-29,53.33,53.41,48.73,50.47,11808057
TSEM,2026-05-29,283.22,285.0,244.35,255.23,3396469
TSLA,2026-05-29,439.85,441.07,428.14,435.79,45176821
TSM,2026-05-29,427.07,430.44,417.25,418.45,11232272
