week,Russia_min,Russia_max,Russia_2021,Russia_2022,Russia_2023,Russia_2024,Russia_2025,Russia_2026,Norway_min,Norway_max,Norway_2021,Norway_2022,Norway_2023,Norway_2024,Norway_2025,Norway_2026,Algeria_min,Algeria_max,Algeria_2021,Algeria_2022,Algeria_2023,Algeria_2024,Algeria_2025,Algeria_2026,UK_min,UK_max,UK_2021,UK_2022,UK_2023,UK_2024,UK_2025,UK_2026,Azerbaijan_min,Azerbaijan_max,Azerbaijan_2021,Azerbaijan_2022,Azerbaijan_2023,Azerbaijan_2024,Azerbaijan_2025,Azerbaijan_2026,Libya_min,Libya_max,Libya_2021,Libya_2022,Libya_2023,Libya_2024,Libya_2025,Libya_2026,LNG_min,LNG_max,LNG_2021,LNG_2022,LNG_2023,LNG_2024,LNG_2025,LNG_2026,EU_min,EU_max,EU_2021,EU_2022,EU_2023,EU_2024,EU_2025,EU_2026
1,"2,704","3,909","3,290","1,746",415,572,443,384,"1,536","1,833","1,513","1,815","1,863","1,882","1,815","1,710",500,866,682,679,556,538,650,539,75,167,132,283,434,167,149,157,,,48,200,245,247,248,236,83,103,60,56,40,32,10,10,0,"1,911",965,"2,065","2,531","2,228","2,239","2,808","5,734","7,632","6,690","6,843","6,084","5,667","5,553","5,844"
2,"2,358","4,075","3,060","1,796",408,606,336,382,"1,600","1,802","1,452","1,805","1,871","1,831","1,632","1,756",479,900,616,656,517,571,644,658,65,227,167,175,361,181,187,186,,,106,211,226,239,179,223,56,124,60,53,56,36,10,10,0,"1,953","1,031","2,395","2,525","2,841","2,376","2,873","5,678","8,067","6,492","7,090","5,964","6,304","5,364","6,088"
3,"2,147","4,087","3,157","1,757",344,605,378,398,"1,430","1,799","1,452","1,771","1,789","1,885","1,675","1,682",467,895,714,641,526,497,655,656,79,163,128,160,329,185,140,166,,,110,210,240,245,149,224,58,139,74,49,49,39,11,5,0,"1,588",990,"2,494","2,535","2,425","2,514","3,227","4,974","7,763","6,624","7,082","5,812","5,880","5,522","6,360"
4,"2,004","4,104","3,141","1,943",334,611,357,398,"1,600","1,834","1,462","1,812","1,739","1,920","1,661","1,789",454,914,685,659,418,482,668,658,56,186,159,137,307,130,159,166,,,110,179,243,252,227,217,87,126,58,50,51,40,8,6,0,"1,835",780,"2,634","2,589","2,328","2,438","2,866","5,194","7,794","6,395","7,414","5,681","5,762","5,517","6,100"
5,"1,953","3,911","3,156","2,208",384,612,342,396,"1,620","1,825","1,481","1,854","1,836","1,867","1,577","1,887",429,913,812,665,559,578,676,651,65,161,131,272,354,135,153,167,,,109,189,241,234,223,229,82,139,66,38,50,35,11,4,0,"1,682",712,"2,326","2,545","2,284","2,475","2,884","4,901","7,755","6,467","7,551","5,969","5,744","5,456","6,218"
6,"1,963","3,859","3,182","2,024",461,605,393,393,"1,628","1,863","1,537","1,854","1,788","1,809","1,645","1,911",345,915,823,687,625,512,676,666,81,156,133,253,399,133,145,260,,,106,197,243,253,227,234,84,148,76,0,54,33,9,8,0,"1,756",828,"2,316","2,643","2,209","2,820","2,730","5,139","7,531","6,684","7,331","6,213","5,555","5,915","6,202"
7,"2,068","3,784","3,184","1,922",452,608,398,385,"1,518","1,823","1,558","1,796","1,862","1,917","1,709","1,929",333,905,822,678,583,532,677,666,59,139,139,194,432,167,145,312,,,107,225,230,260,224,234,77,149,78,26,47,41,6,15,0,"1,767","1,184","2,232","2,528","2,205","2,761","2,831","5,264","7,598","7,072","7,072","6,133","5,728","5,919","6,372"
8,"2,063","3,657","2,870","2,323",429,567,395,366,"1,525","1,838","1,661","1,819","1,818","1,780","1,865","1,907",336,892,822,674,539,524,675,667,65,159,97,269,396,143,120,192,,,112,226,224,244,222,242,85,140,65,50,44,31,11,10,0,"2,009","1,249","2,033","2,736","2,580","2,633","3,133","5,137","7,579","6,876","7,394","6,185","5,870","5,922","6,516"
9,"1,966","3,825","2,694","2,621",486,604,382,379,"1,474","1,747","1,587","1,767","1,853","1,860","1,872","1,886",287,915,816,662,502,562,668,674,85,126,116,295,284,129,152,182,,,87,225,246,240,204,237,83,147,78,44,61,34,11,6,0,"1,960","1,289","2,226","3,024","2,691","2,776","3,329","4,977","7,476","6,668","7,839","6,456","6,119","6,066","6,693"
10,"2,318","3,832","3,104","2,606",458,615,338,388,"1,468","1,880","1,419","1,819","1,793","1,884","1,891","1,759",199,889,822,674,638,646,636,683,98,235,123,301,226,117,142,150,,,103,228,246,245,236,235,94,157,77,18,65,34,20,6,145,"2,014","1,658","2,422","2,027","2,590","2,791","3,278","5,627","7,733","7,307","8,068","5,495","6,131","6,053","6,499"
