DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-07,5.4,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-08,5.7,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-09,5.4,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-10,5.5,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-11,5.7,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2025-12,5.8,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2026-01,6.2,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2026-02,6.8,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2026-03,6.0,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Austria,2026-04,5.9,,
ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),01/06/26 23:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of population in the labour force,Total,Bosnia and Herzegovina,2025-07,11.9,,
