"Area","Year","Total","Male","Female"
"Aruba","2010",16.56,17.4,15.64
"Afghanistan","2021",43.769,19.632,65.079
"Angola","2025",24.903,23.564,26.189
"Albania","2024",21.029,19.611,22.545
"Netherlands Antilles","2011",4.77,4.58,4.95
"United Arab Emirates","2023",8.917,5.95,14.891
"Argentina","2025",15.215,13.175,17.365
"Armenia","2023",20.177,16.985,23.02
"Antigua and Barbuda","2023",17.864,18.236,17.486
"Australia","2025",8.397,8.667,8.109
"Austria","2025",13.408,15.293,11.424
"Azerbaijan","2010",9.64,6.96,12.39
"Burundi","2020",11.167,11.458,10.942
"Belgium","2025",7.351,8.166,6.502
"Benin","2022",14.241,11.766,16.746
"Burkina Faso","2025",24.473,18.885,28.95
"Bangladesh","2024",15.431,10.882,19.727
"Bulgaria","2025",11.544,10.86,12.271
"Bosnia and Herzegovina","2024",14.306,14.742,13.845
"Belarus","2024",65.734,65.828,65.634
"Belize","2019",24.884,14.698,34.817
"Bermuda","2010",6.79,8.18,5.48
"Bolivia, Plurinational State of","2024",8.021,4.938,11.136
"Brazil","2025",18.702,14.639,22.916
"Barbados","2016",28.993,32.151,25.882
"Brunei Darussalam","2024",19.049,16.345,22.28
"Bhutan","2025",15.3,12.575,18.056
"Botswana","2024",37.998,37.794,38.211
"Canada","2025",13.27,13.917,12.568
"Switzerland","2025",6.993,7.577,6.369
"Chile","2025",13.435,12.473,14.429
"China","2000",12.688,10.948,14.492
"Côte d'Ivoire","2022",18.834,12.86,24.568
"Cameroon","2021",23.223,14.703,30.418
"Congo, Democratic Republic of the","2020",31.372,28.66,33.88
"Congo","2009",22.271,21.576,22.835
"Cook Islands","2023",20.303,22.655,18.052
"Colombia","2025",21.982,15.024,29.125
"Comoros","2021",21.168,19.606,22.834
"Cape Verde","2019",27.99,27.1,29
"Costa Rica","2025",19.431,16.517,23.17
"Curaçao","2020",17.46,18.81,16.08
"Cyprus","2025",9.366,8.727,10.02
"Czechia","2025",4.89,4.1,5.747
"Germany","2025",8.198,8.002,8.409
"Djibouti","2025",44.025,38.6,49.165
"Denmark","2025",7.907,7.691,8.132
"Dominican Republic","2025",24.686,19.93,29.524
"Algeria","2017",20.95,10.94,31.69
"Ecuador","2025",17.719,10.026,26.513
"Egypt","2024",23.776,14.761,34.763
"Spain","2025",9.417,9.931,8.863
"Estonia","2025",10.896,11.721,10.079
"Ethiopia","2021",17.529,9.869,24.875
"Finland","2025",9.128,9.639,8.625
"Fiji","2024",20.786,15.348,26.894
"Falkland Islands, Malvinas","2012",3.25,2.55,3.97
"France","2025",11.014,11.616,10.389
"Micronesia, Federated States of","2014",28.673,23.776,33.615
"Gabon","2024",20.207,18.675,21.629
"United Kingdom of Great Britain and Northern Ireland","2025",14.404,15.162,13.613
"Georgia","2024",14.692,13.787,15.71
"Guernsey","2016",1.35,1.66,1
"Ghana","2024",23.91,21.501,26.283
"Guinea","2019",34.301,24.845,41.492
"Gambia","2025",36.465,37.236,35.735
"Guinea-Bissau","2022",13.201,11.198,15.173
"Greece","2025",10.364,10.679,10.046
"Grenada","2023",20.092,19.565,20.65
"Guatemala","2024",24.03,9.204,35.832
"Guyana","2021",44.774,38.494,50.682
"Hong Kong, China","2025",5.951,6.097,5.8
"Honduras","2025",29.025,15.837,41.333
"Croatia","2025",8.971,9.739,8.123
"Haiti","2012",21.086,14.247,27.884
"Hungary","2025",9.547,8.203,10.965
"Indonesia","2023",21.365,16.694,26.323
"India","2025",25.554,12.15,39.728
"Ireland","2025",6.372,6.749,5.964
"Iran, Islamic Republic of","2024",24.322,15.416,34.071
"Iraq","2021",36.932,22.121,52.713
"Iceland","2025",3.998,4.77,3.166
"Israel","2024",15.266,14.828,15.692
"Italy","2025",9.909,9.952,9.862
"Jamaica","2023",19.696,19.13,20.282
"Jordan","2024",29.39,25.952,33.066
"Japan","2019",3.14,2.73,3.76
"Kazakhstan","2016",9.491,,
"Kenya","2021",18.503,12.08,24.637
"Kyrgyzstan","2023",19.307,12.578,26.083
"Cambodia","2023",6.315,4.333,8.342
"Kiribati","2023",35.412,31.493,39.536
"Republic of Korea","2002",10.762,11.327,10.272
"Kosovo","2024",30.04,29.065,31.078
"Lao People's Democratic Republic","2022",22.509,20.392,24.614
"Lebanon","2019",23.518,17.91,28.889
"Liberia","2017",39.937,38.842,40.852
"Saint Lucia","2025",25.504,26.227,24.796
"Sri Lanka","2024",17.234,11.908,22.441
