,primary_country_target,primary_country_partner,Count
79,Argentina,USA,89
77,Argentina,UK,68
27,Argentina,Germany,58
0,Argentina,Australia,42
9,Argentina,Canada,36
26,Argentina,France,36
67,Argentina,Spain,35
12,Argentina,China,34
6,Argentina,Brazil,33
37,Argentina,Italy,28
70,Argentina,Switzerland,28
38,Argentina,Japan,26
11,Argentina,Chile,25
65,Argentina,South Africa,25
43,Argentina,Mexico,24
85,Argentina,the Netherlands,23
13,Argentina,Colombia,18
48,Argentina,Norway,18
32,Argentina,India,17
20,Argentina,Denmark,16
57,Argentina,Russia,16
69,Argentina,Sweden,14
1,Argentina,Austria,13
46,Argentina,New Zealand,13
25,Argentina,Finland,12
42,Argentina,Malaysia,12
3,Argentina,Belgium,11
21,Argentina,Ecuador,11
23,Argentina,Estonia,11
53,Argentina,Poland,10
54,Argentina,Portugal,10
35,Argentina,Ireland,9
66,Argentina,South Korea,9
14,Argentina,Costa Rica,8
16,Argentina,Czech Republic,8
30,Argentina,Hungary,8
36,Argentina,Israel,8
51,Argentina,Peru,8
62,Argentina,Singapore,8
33,Argentina,Indonesia,7
34,Argentina,Iran,7
60,Argentina,Serbia,7
4,Argentina,Bolivia,6
8,Argentina,Cameroon,6
50,Argentina,Panama,6
73,Argentina,Thailand,6
76,Argentina,Turkey,6
83,Argentina,Venezuela,6
15,Argentina,Croatia,5
39,Argentina,Kenya,5
45,Argentina,Morocco,5
56,Argentina,Romania,5
84,Argentina,Vietnam,5
7,Argentina,Bulgaria,4
18,Argentina,Côte d'Ivoire,4
49,Argentina,Pakistan,4
58,Argentina,Saudi Arabia,4
63,Argentina,Slovakia,4
68,Argentina,Sri Lanka,4
72,Argentina,Tanzania,4
74,Argentina,The Philippines,4
29,Argentina,Greece,3
40,Argentina,Lithuania,3
44,Argentina,Mongolia,3
55,Argentina,Qatar,3
71,Argentina,Taiwan,3
80,Argentina,Uganda,3
81,Argentina,Ukraine,3
82,Argentina,United Arab Emirates,3
2,Argentina,Bangladesh,2
22,Argentina,Egypt,2
24,Argentina,Ethiopia,2
31,Argentina,Iceland,2
52,Argentina,Philippines,2
64,Argentina,Slovenia,2
75,Argentina,Tunisia,2
5,Argentina,Botswana,1
10,Argentina,Center for Astrophysics,1
17,Argentina,Czechia,1
19,Argentina,Democratic Republic of the Congo,1
28,Argentina,Germany [],1
41,Argentina,Luxembourg,1
47,Argentina,Nigeria,1
59,Argentina,Senegal,1
61,Argentina,Sierra Leone,1
78,Argentina,US,1
177,Australia,USA,743
174,Australia,UK,482
115,Australia,Germany,358
98,Australia,China,269
112,Australia,France,243
95,Australia,Canada,230
183,Australia,the Netherlands,181
166,Australia,Switzerland,170
128,Australia,Japan,169
163,Australia,Spain,166
127,Australia,Italy,136
165,Australia,Sweden,132
106,Australia,Denmark,127
87,Australia,Austria,84
89,Australia,Belgium,80
141,Australia,Norway,74
161,Australia,South Africa,74
111,Australia,Finland,73
139,Australia,New Zealand,71
92,Australia,Brazil,66
158,Australia,Singapore,64
122,Australia,India,57
126,Australia,Israel,56
151,Australia,Russia,50
162,Australia,South Korea,50
97,Australia,Chile,49
125,Australia,Ireland,49
86,Australia,Argentina,42
146,Australia,Poland,42
136,Australia,Mexico,38
167,Australia,Taiwan,36
109,Australia,Estonia,34
123,Australia,Indonesia,33
102,Australia,Czech Republic,31
147,Australia,Portugal,31
117,Australia,Greece,29
153,Australia,Saudi Arabia,28
121,Australia,Iceland,27
134,Australia,Malaysia,26
99,Australia,Colombia,25
120,Australia,Hungary,25
172,Australia,Turkey,19
130,Australia,Kenya,18
144,Australia,Peru,18
101,Australia,Croatia,15
145,Australia,Philippines,14
107,Australia,Ecuador,13
148,Australia,Qatar,13
140,Australia,Nigeria,12
150,Australia,Romania,12
169,Australia,Thailand,12
100,Australia,Costa Rica,11
108,Australia,Egypt,11
124,Australia,Iran,11
180,Australia,United Arab Emirates,11
164,Australia,Sri Lanka,10
181,Australia,Venezuela,10
90,Australia,Bolivia,9
138,Australia,Morocco,9
143,Australia,Panama,9
156,Australia,Serbia,9
168,Australia,Tanzania,9
170,Australia,The Philippines,9
182,Australia,Vietnam,9
93,Australia,Bulgaria,8
94,Australia,Cameroon,8
142,Australia,Pakistan,8
179,Australia,Ukraine,8
119,Australia,Hong Kong,7
159,Australia,Slovakia,7
178,Australia,Uganda,7
160,Australia,Slovenia,6
88,Australia,Bangladesh,5
103,Australia,Czechia,5
104,Australia,Côte d'Ivoire,5
131,Australia,Lithuania,5
132,Australia,Luxembourg,5
137,Australia,Mongolia,5
110,Australia,Ethiopia,4
152,Australia,Rwanda,4
155,Australia,Senegal,4
157,Australia,Sierra Leone,4
96,Australia,Center for Astrophysics,3
105,Australia,Democratic Republic of the Congo,3
113,Australia,France [],3
129,Australia,Kazakhstan,3
171,Australia,Tunisia,3
175,Australia,UK [],3
114,Australia,Georgia,2
116,Australia,Germany [],2
118,Australia,Guinea,2
135,Australia,Mali,2
154,Australia,Scotland,2
176,Australia,US,2
91,Australia,Botswana,1
133,Australia,MO,1
149,Australia,Republic of Singapore,1
173,Australia,U.K,1
266,Austria,USA,294
210,Austria,Germany,272
265,Austria,UK,199
258,Austria,Switzerland,147
208,Austria,France,145
220,Austria,Italy,113
272,Austria,the Netherlands,113
257,Austria,Sweden,99
255,Austria,Spain,97
192,Austria,Canada,92
185,Austria,Australia,84
195,Austria,China,74
187,Austria,Belgium,71
221,Austria,Japan,71
202,Austria,Denmark,61
244,Austria,Russia,58
207,Austria,Finland,52
233,Austria,Norway,50
239,Austria,Poland,44
218,Austria,Ireland,43
199,Austria,Czech Republic,40
213,Austria,Hungary,39
219,Austria,Israel,36
240,Austria,Portugal,32
194,Austria,Chile,26
231,Austria,New Zealand,25
205,Austria,Estonia,24
189,Austria,Brazil,23
215,Austria,India,23
211,Austria,Greece,22
254,Austria,South Korea,21
253,Austria,South Africa,20
264,Austria,Turkey,20
250,Austria,Singapore,18
198,Austria,Croatia,17
228,Austria,Mexico,17
248,Austria,Serbia,17
214,Austria,Iceland,16
251,Austria,Slovakia,14
259,Austria,Taiwan,14
184,Austria,Argentina,13
243,Austria,Romania,13
196,Austria,Colombia,12
190,Austria,Bulgaria,10
200,Austria,Czechia,9
217,Austria,Iran,9
222,Austria,Kazakhstan,9
246,Austria,Saudi Arabia,9
252,Austria,Slovenia,9
238,Austria,Philippines,8
268,Austria,Ukraine,8
193,Austria,Center for Astrophysics,7
224,Austria,Lithuania,7
237,Austria,Peru,7
241,Austria,Qatar,7
269,Austria,United Arab Emirates,7
225,Austria,Luxembourg,6
229,Austria,Mongolia,6
232,Austria,Nigeria,6
260,Austria,Tanzania,6
271,Austria,Vietnam,6
226,Austria,Malaysia,5
188,Austria,Bolivia,4
197,Austria,Costa Rica,4
212,Austria,Hong Kong,4
216,Austria,Indonesia,4
223,Austria,Kenya,4
256,Austria,Sri Lanka,4
267,Austria,Uganda,4
270,Austria,Venezuela,4
191,Austria,Cameroon,3
201,Austria,Côte d'Ivoire,3
203,Austria,Ecuador,3
204,Austria,Egypt,3
235,Austria,Pakistan,3
236,Austria,Panama,3
261,Austria,Thailand,3
263,Austria,Tunisia,3
186,Austria,Bangladesh,2
209,Austria,Georgia,2
230,Austria,Morocco,2
262,Austria,The Philippines,2
206,Austria,Ethiopia,1
227,Austria,Massachusetts  USA,1
234,Austria,PR China,1
242,Austria,Republic of Singapore,1
245,Austria,Rwanda,1
247,Austria,Scotland,1
249,Austria,Sierra Leone,1
339,Bangladesh,USA,14
338,Bangladesh,UK,10
287,Bangladesh,Denmark,8
282,Bangladesh,China,7
293,Bangladesh,France,7
280,Bangladesh,Canada,6
295,Bangladesh,Germany,6
332,Bangladesh,Switzerland,6
274,Bangladesh,Australia,5
298,Bangladesh,India,5
302,Bangladesh,Italy,5
290,Bangladesh,Estonia,4
296,Bangladesh,Greece,4
299,Bangladesh,Indonesia,4
321,Bangladesh,Russia,4
325,Bangladesh,Singapore,4
327,Bangladesh,South Africa,4
329,Bangladesh,Spain,4
331,Bangladesh,Sweden,4
333,Bangladesh,Taiwan,4
345,Bangladesh,the Netherlands,4
278,Bangladesh,Brazil,3
283,Bangladesh,Colombia,3
292,Bangladesh,Finland,3
303,Bangladesh,Japan,3
306,Bangladesh,Malaysia,3
307,Bangladesh,Mexico,3
310,Bangladesh,New Zealand,3
313,Bangladesh,Pakistan,3
317,Bangladesh,Poland,3
330,Bangladesh,Sri Lanka,3
337,Bangladesh,Turkey,3
273,Bangladesh,Argentina,2
275,Bangladesh,Austria,2
281,Bangladesh,Chile,2
284,Bangladesh,Costa Rica,2
285,Bangladesh,Croatia,2
288,Bangladesh,Ecuador,2
297,Bangladesh,Iceland,2
305,Bangladesh,Kenya,2
312,Bangladesh,Norway,2
314,Bangladesh,Panama,2
315,Bangladesh,Peru,2
316,Bangladesh,Philippines,2
318,Bangladesh,Portugal,2
