primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Argentina,0.018018018018018018,0.11711711711711711,0.13513513513513514,0.06306306306306306,0.09009009009009009,0.09009009009009009,0.07207207207207207,0.036036036036036036,0.06306306306306306,0.02702702702702703,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.036036036036036036,0.0,0.009009009009009009,0.18018018018018017
Australia,0.06748466257668712,0.23049956178790534,0.18492550394390886,0.12182296231375986,0.09728308501314636,0.05696757230499562,0.042068361086765996,0.03155127081507449,0.033304119193689745,0.02716914986853637,0.011393514460999123,0.014022787028921999,0.013146362839614373,0.010517090271691499,0.0043821209465381246,0.0043821209465381246,0.049079754601226995
Austria,0.1079646017699115,0.22654867256637168,0.17876106194690267,0.0920353982300885,0.049557522123893805,0.04601769911504425,0.05132743362831858,0.049557522123893805,0.021238938053097345,0.019469026548672566,0.01592920353982301,0.012389380530973451,0.007079646017699115,0.01415929203539823,0.01415929203539823,0.01415929203539823,0.07964601769911504
Bangladesh,0.0,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529
Belgium,0.04512635379061372,0.18231046931407943,0.20216606498194944,0.1407942238267148,0.08483754512635379,0.06498194945848375,0.048736462093862815,0.04151624548736462,0.019855595667870037,0.032490974729241874,0.018050541516245487,0.016245487364620937,0.009025270758122744,0.016245487364620937,0.009025270758122744,0.009025270758122744,0.05956678700361011
Bolivia,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.3333333333333333
Botswana,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Brazil,0.004545454545454545,0.1590909090909091,0.1409090909090909,0.15,0.06363636363636363,0.05,0.045454545454545456,0.031818181818181815,0.06363636363636363,0.03636363636363636,0.01818181818181818,0.004545454545454545,0.04090909090909091,0.01818181818181818,0.013636363636363636,0.00909090909090909,0.15
Bulgaria,0.0,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.13157894736842105,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.3157894736842105
Cameroon,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.3888888888888889
Canada,0.09211495946941783,0.27339719970523213,0.18054532056005895,0.10464259395725865,0.06927044952100221,0.054532056005895356,0.04126750184229919,0.028739867354458364,0.02800294767870302,0.028739867354458364,0.009579955784819455,0.008106116433308769,0.011790714812085483,0.01400147383935151,0.0058953574060427415,0.0058953574060427415,0.043478260869565216
Center for Astrophysics,0.0,0.16666666666666666,0.0,0.125,0.041666666666666664,0.041666666666666664,0.125,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333
Chile,0.012269938650306749,0.0736196319018405,0.10429447852760736,0.09202453987730061,0.0736196319018405,0.12269938650306748,0.09815950920245399,0.04294478527607362,0.06748466257668712,0.06748466257668712,0.018404907975460124,0.012269938650306749,0.024539877300613498,0.012269938650306749,0.012269938650306749,0.03067484662576687,0.13496932515337423
