"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"World","All commodities, Commodity price index","Annual","1997","56.123","Units"
"World","All commodities, Commodity price index","Annual","1998","47.306","Units"
"World","All commodities, Commodity price index","Annual","1999","47.983","Units"
"World","All commodities, Commodity price index","Annual","2000","60.391","Units"
"World","All commodities, Commodity price index","Annual","2001","56.192","Units"
"World","All commodities, Commodity price index","Annual","2002","55.851","Units"
"World","All commodities, Commodity price index","Annual","2003","65.674","Units"
"World","All commodities, Commodity price index","Annual","2004","79.197","Units"
"World","All commodities, Commodity price index","Annual","2005","97.678","Units"
"World","All commodities, Commodity price index","Annual","2006","114.073","Units"
"World","All commodities, Commodity price index","Annual","2007","129.115","Units"
"World","All commodities, Commodity price index","Annual","2008","162.560","Units"
"World","All commodities, Commodity price index","Annual","2009","115.995","Units"
"World","All commodities, Commodity price index","Annual","2010","145.394","Units"
"World","All commodities, Commodity price index","Annual","2011","181.576","Units"
"World","All commodities, Commodity price index","Annual","2012","173.387","Units"
"World","All commodities, Commodity price index","Annual","2013","168.163","Units"
"World","All commodities, Commodity price index","Annual","2014","158.259","Units"
"World","All commodities, Commodity price index","Annual","2015","107.924","Units"
"World","All commodities, Commodity price index","Annual","2016","100.000","Units"
"World","All commodities, Commodity price index","Annual","2017","113.326","Units"
"World","All commodities, Commodity price index","Annual","2018","127.725","Units"
"World","All commodities, Commodity price index","Annual","2019","117.022","Units"
"World","All commodities, Commodity price index","Annual","2020","105.864","Units"
"World","All commodities, Commodity price index","Annual","2021","161.503","Units"
"World","All commodities, Commodity price index","Annual","2022","215.917","Units"
"World","All commodities, Commodity price index","Annual","2023","165.648","Units"
"World","All commodities, Commodity price index","Annual","2024","164.822","Units"
"World","All commodities, Commodity price index","Annual","2025","166.946","Units"
"World","All commodities, Commodity price index","Annual","2026","201.390","Units"
