STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-10,,3.1,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-11,,3.2,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2020-10,,3.1,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2020-04,,2.8,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2011-05,,4.7,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2011-04,,5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2020-05,,2.9,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-06,,5.2,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-07,,5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-08,,5.1,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-09,,5.1,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-10,,5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-11,,4.8,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2010-12,,4.6,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2011-01,,4.8,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-03,,3.5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-04,,3.6,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-08,,3.4,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2015-09,,3.4,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2012-04,,4.8,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2012-05,,4.5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2012-06,,4.4,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,UNE_LF_M,Monthly unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y_GE15,15 years or over,_Z,Not applicable,M,Monthly,2012-07,,4.4,,,,A,Normal value,0,Units,1,One
