countryiso3code,date,value
AFE,2019,158.428355555057
AFW,2019,182.838948313298
ARB,2019,103.775508952357
CSS,2019,40.7019406686502
CEB,2019,44.8659906651865
EAR,2019,126.808580206607
EAS,2019,96.342990849924
EAP,2019,104.758497712364
TEA,2019,103.410042138667
EMU,2019,13.9946070960159
ECS,2019,44.7209694970376
ECA,2019,86.3107520653828
TEC,2019,74.9033458868225
EUU,2019,20.2426533467097
FCS,2019,167.436755454096
HPC,2019,181.850593685821
,2019,24.4204023355218
IBD,2019,98.6437247532736
IBT,2019,118.559996377422
IDB,2019,175.202347314304
IDX,2019,173.02026742926
IDA,2019,173.787016322291
LTE,2019,82.4779641953252
LCN,2019,41.0646854316018
LAC,2019,42.4612853399571
TLA,2019,41.0690744511725
LDC,2019,175.981216880899
LMY,2019,121.230536035516
,2019,195.923222339485
,2019,147.956098310045
MEA,2019,127.480639969079
MNA,2019,132.461520606076
TMN,2019,132.461520606076
MIC,2019,114.079060365971
NAC,2019,13.5761693296771
,2019,
OED,2019,20.141339661698
OSS,2019,92.4358636685935
PSS,2019,194.73726608183
PST,2019,17.9212228896057
PRE,2019,176.813388117854
SST,2019,94.0238043519834
SAS,2019,139.753857800737
TSA,2019,139.753857800737
SSF,2019,168.356267195049
SSA,2019,171.292096963615
TSS,2019,168.356267195049
,2019,78.2942876395326
WLD,2019,104.306865040051
AFG,2019,265.7
ALB,2019,92.5
DZA,2019,49.7
ASM,2019,
AND,2019,
AGO,2019,142.8
ATG,2019,19.3
ARG,2019,29.7
ARM,2019,74.5
ABW,2019,
AUS,2019,9.8
AUT,2019,17.5
AZE,2019,125.2
BHS,2019,10.4
BHR,2019,68.1
BGD,2019,143.9
BRB,2019,18.8
BLR,2019,69.9
BEL,2019,15.3
BLZ,2019,41.0
BEN,2019,201.8
BMU,2019,
BTN,2019,94.3
BOL,2019,77.1
BIH,2019,113.9
BWA,2019,140.7
BRA,2019,28.9
VGB,2019,
BRN,2019,19.6
BGR,2019,62.9
BFA,2019,201.3
BDI,2019,205.9
CPV,2019,91.2
KHM,2019,163.3
CMR,2019,206.7
CAN,2019,8.1
CYM,2019,
CAF,2019,305.1
TCD,2019,227.4
CHI,2019,
CHL,2019,17.9
CHN,2019,95.3
COL,2019,31.3
COM,2019,164.6
COD,2019,209.8
COG,2019,170.4
CRI,2019,17.8
CIV,2019,186.5
HRV,2019,31.3
CUB,2019,41.9
CUW,2019,
CYP,2019,15.8
CZE,2019,32.5
DNK,2019,12.9
DJI,2019,177.9
DMA,2019,
DOM,2019,41.3
ECU,2019,28.1
EGY,2019,105.6
SLV,2019,40.3
GNQ,2019,165.7
ERI,2019,237.4
EST,2019,12.8
SWZ,2019,173.7
ETH,2019,142.5
FRO,2019,
FJI,2019,118.7
FIN,2019,7.4
FRA,2019,10.0
PYF,2019,
GAB,2019,78.3
GMB,2019,220.5
GEO,2019,92.8
DEU,2019,14.7
GHA,2019,193.6
GIB,2019,
GRC,2019,23.0
GRL,2019,
GRD,2019,47.4
GUM,2019,
GTM,2019,91.0
GIN,2019,238.0
GNB,2019,228.8
GUY,2019,95.7
HTI,2019,206.4
HND,2019,112.5
HKG,2019,
HUN,2019,42.3
ISL,2019,8.2
IND,2019,139.3
IDN,2019,96.1
IRN,2019,58.1
IRQ,2019,89.7
IRL,2019,12.8
IMN,2019,
ISR,2019,15.1
ITA,2019,15.0
JAM,2019,35.9
JPN,2019,11.8
JOR,2019,38.7
KAZ,2019,83.4
KEN,2019,131.9
KIR,2019,246.6
PRK,2019,212.8
KOR,2019,18.9
XKX,2019,
KWT,2019,45.2
KGZ,2019,124.9
LAO,2019,195.3
LVA,2019,40.1
LBN,2019,58.6
LSO,2019,288.3
LBR,2019,152.7
LBY,2019,53.9
LIE,2019,
LTU,2019,38.8
LUX,2019,12.5
MAC,2019,
MDG,2019,208.0
MWI,2019,148.5
MYS,2019,76.5
MDV,2019,32.0
MLI,2019,167.1
MLT,2019,20.9
MHL,2019,
MRT,2019,128.4
MUS,2019,34.7
MEX,2019,44.7
FSM,2019,254.0
MDA,2019,68.9
MCO,2019,
MNG,2019,214.7
MNE,2019,115.2
MAR,2019,66.6
MOZ,2019,228.4
MMR,2019,184.1
NAM,2019,142.5
NRU,2019,
NPL,2019,177.9
NLD,2019,13.1
NCL,2019,
NZL,2019,12.2
NIC,2019,84.4
NER,2019,213.3
NGA,2019,165.2
MKD,2019,95.6
MNP,2019,
NOR,2019,7.9
OMN,2019,104.0
PAK,2019,192.1
PLW,2019,
PAN,2019,27.3
PNG,2019,189.6
PRY,2019,55.6
PER,2019,37.9
PHL,2019,202.8
POL,2019,40.9
PRT,2019,10.0
PRI,2019,
QAT,2019,90.8
ROU,2019,67.8
RUS,2019,67.1
RWA,2019,165.8
WSM,2019,145.5
SMR,2019,
STP,2019,225.4
SAU,2019,91.1
SEN,2019,146.4
SRB,2019,71.5
SYC,2019,43.1
SLE,2019,239.0
SGP,2019,23.4
SXM,2019,
SVK,2019,30.3
SVN,2019,18.8
SLB,2019,281.2
SOM,2019,237.9
ZAF,2019,74.9
SSD,2019,134.5
ESP,2019,10.1
LKA,2019,91.6
KNA,2019,
LCA,2019,27.7
MAF,2019,
VCT,2019,34.4
SDN,2019,145.3
SUR,2019,51.0
SWE,2019,8.1
CHE,2019,10.4
SYR,2019,94.5
TJK,2019,203.8
TZA,2019,128.3
THA,2019,46.5
TLS,2019,185.6
TGO,2019,223.1
TON,2019,52.3
TTO,2019,19.8
TUN,2019,55.9
TUR,2019,45.5
TKM,2019,87.9
TCA,2019,
TUV,2019,
UGA,2019,163.0
UKR,2019,78.9
ARE,2019,70.0
GBR,2019,13.4
USA,2019,14.2
URY,2019,16.2
UZB,2019,151.7
VUT,2019,259.9
VEN,2019,37.9
VNM,2019,102.8
VIR,2019,
PSE,2019,
YEM,2019,186.3
ZMB,2019,174.0
ZWE,2019,189.6
