"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2012-M01","2012-M02","2012-M03","2012-M04","2012-M05","2012-M06","2012-M07","2012-M08","2012-M09","2012-M10","2012-M11","2012-M12","2013-M01","2013-M02","2013-M03","2013-M04","2013-M05","2013-M06","2013-M07","2013-M08","2013-M09","2013-M10","2013-M11","2013-M12","2014-M01","2014-M02","2014-M03","2014-M04","2014-M05","2014-M06","2014-M07","2014-M08","2014-M09","2014-M10","2014-M11","2014-M12","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12"
"IMF.STA:ER(4.0.1)","TWN.XDC_USD.EOP_RT.M","OBS_VALUE","Taiwan Province of China","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","29.62","29.42","29.53","29.232","29.86","29.9","30.01","29.966","29.342","29.26","29.116","29.136","29.582","29.705","29.875","29.616","30.06","30.12","30.12","29.983","29.67","29.455","29.679","29.95","30.376","30.355","30.51","30.258","30.05","29.915","30.04","29.97","30.436","30.478","31.039","31.718","31.555","31.503","31.401","30.752","30.871","31.07","31.682","32.81","33.128","32.802","32.83","33.066","33.65","33.492","32.282","32.281","32.63","32.286","31.926","31.726","31.366","31.58","31.89","32.279","31.36","30.65","30.336","30.218","30.102","30.436","30.227","30.203","30.305","30.17","30.01","29.848","29.15","29.23","29.12","29.605","29.98","30.5","30.614","30.731","30.551","30.968","30.85","30.733","30.74","30.775","30.825","30.905","31.612","31.072","31.096","31.41","31.042","30.462","30.513","30.106","30.25","30.33","30.254","29.802","30.032","29.66","29.502","29.526","29.126","28.925","28.824","28.508","28.412","28.306","28.531","27.95","27.657","27.87","27.966","27.772","27.866","27.82","27.81","27.69","27.828","28.021","28.622","29.48","29.065","29.726","29.938","30.435","31.743","32.21","30.902","30.708","30.052","30.48","30.454","30.74","30.766","31.135","31.43","31.854","32.268","32.419","31.26","30.735","31.301","31.577","31.99","32.542","32.42","32.45","32.836","31.94","31.651","32.031","32.457","32.781","32.682","32.82","33.182","32.017","29.929","29.902","29.916","30.605","30.469","30.749","31.408","31.438"
"IMF.STA:ER(4.0.1)","VNM.XDC_USD.EOP_RT.M","OBS_VALUE","Vietnam","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","20828","21036","21036","21036","21036","21036","21036","21036","21036","21036","21036","21036","21036","21246","21246","21246","21246","21246","21246","21246","21485","21485","21485","21485","21673","21673","21890","21890","21890","21890","21890","21890","21881","21914","21857","21842","21939","21873","21862","21921","21949","22039","22118","22159","22202","22232","22276","22350","22396","22431","22432","22443","22470","22471","22433","22425","22441","22463","22458","22539","22595","22650","22669","22678","22714","22726","22750","22825","22868","22915","22980","23028","23065","23066","23073","23133","23161","23145","23162","23155","23196","23224","23235","23257","23261","23229","23213","23200","23215","23201","23155","23131","23160","23130","23244","23158","23135","23178","23180","23130","23162","23131","23139","23145","23099","23140","23100","23140","23057","23110","23176","23219","23400","23695","23679.35","23612","23609","23644","23600","23639","23714","23758","23758","23997","24089","24087","23891","23866","23991","24002","24003","24246","24261","24260","24255","24224","24093","24243","24251","24335","24325","24726","24837","24956","24978","25052","25240","25240","25187","25093","25155","25121"
"IMF.STA:ER(4.0.1)","PHL.XDC_USD.EOP_RT.M","OBS_VALUE","Philippines","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","42.946","42.864","43","42.436","43.451","42.283","41.907","42.315","41.88","41.263","40.883","41.192","40.653","40.736","40.938","41.161","42.376","43.307","43.402","44.635","43.309","43.179","43.736","44.414","45.155","44.656","44.996","44.463","43.927","43.78","43.421","43.648","44.966","44.876","44.916","44.617","44.132","44.087","44.796","44.25","44.65","45.2","45.618","46.705","46.926","46.89","47.069","47.166","47.823","47.56","46.108","46.773","46.775","46.96","47.085","46.467","48.257","48.515","49.777","49.813","49.814","50.267","50.194","49.699","49.867","50.466","50.582","51.166","51.073","51.799","50.365","49.923","51.421","52.034","52.207","51.965","52.689","53.522","53.263","53.434","54.251","53.606","52.608","52.724","52.352","52.006","52.782","52.106","52.257","51.358","51.013","52.339","52.042","51.033","50.798","50.744","50.904","50.937","51.044","50.589","50.727","49.851","49.217","48.621","48.465","48.401","48.102","48.036","48.121","48.637","48.466","48.39","47.901","48.544","50.342","50.04","50.959","50.77","50.458","50.774","51.273","51.291","51.96","52.158","52.243","55.021","55.722","56.243","58.91","58.288","56.796","56.12","54.545","55.312","54.429","55.742","56.26","55.362","54.847","56.702","56.961","56.903","55.328","55.567","56.335","56.187","56.281","57.697","58.62","58.868","58.645","56.289","55.892","58.254","58.694","58.014","58.362","57.897","57.382","56.252","55.703","56.581","57.306","57.085","58.042","59.003","58.792","58.805"
"IMF.STA:ER(4.0.1)","CAN.XDC_USD.EOP_RT.M","OBS_VALUE","Canada","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","1.0028","0.9895","0.9975","0.9879","1.0329","1.0181","1.0029","0.9857","0.9832","0.999","0.9936","0.9949","0.9973","1.0314","1.016","1.0075","1.0368","1.0518","1.0272","1.053","1.0303","1.0427","1.062","1.0636","1.1138","1.1074","1.1055","1.096","1.0842","1.067","1.0904","1.0873","1.12","1.1271","1.144","1.1601","1.2711","1.2503","1.2666","1.2064","1.2437","1.249","1.308","1.3157","1.3345","1.3075","1.3353","1.384","1.4006","1.3531","1.2987","1.2548","1.311","1.2917","1.3056","1.3116","1.3117","1.3411","1.3429","1.3427","1.3012","1.3281","1.3299","1.365","1.35","1.2977","1.2485","1.2536","1.248","1.2893","1.2888","1.2545","1.2293","1.2809","1.2894","1.2836","1.2948","1.3168","1.3017","1.3055","1.2945","1.3142","1.3301","1.3641","1.3144","1.3169","1.3363","1.3423","1.3527","1.3087","1.3148","1.3296","1.3243","1.316","1.3278","1.3059","1.3233","1.3429","1.4187","1.391","1.3787","1.3628","1.3404","1.3042","1.3339","1.3318","1.2965","1.2856","1.278","1.2685","1.2575","1.2285","1.211","1.2394","1.2462","1.2617","1.2741","1.2384","1.2792","1.2865","1.2719","1.2698","1.2496","1.2792","1.2648","1.2886","1.2824","1.3111","1.3707","1.3649","1.3508","1.3603","1.335","1.3609","1.3533","1.3578","1.3603","1.324","1.3177","1.3531","1.352","1.3871","1.3582","1.3258","1.3397","1.357","1.355","1.3746","1.3637","1.3687","1.3809","1.3491","1.3499","1.3895","1.4082","1.437","1.4484","1.4438","1.4376","1.3812","1.3758","1.3643","1.3844","1.3742","1.3921","1.4018","1.4059","1.3706"
"IMF.STA:ER(4.0.1)","SGP.XDC_USD.EOP_RT.M","OBS_VALUE","Singapore","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","1.2547","1.2474","1.2572","1.2372","1.2882","1.2737","1.2454","1.2523","1.2254","1.2205","1.2209","1.2235","1.2389","1.2363","1.2436","1.2342","1.2613","1.2652","1.2738","1.2757","1.2572","1.2394","1.2555","1.2653","1.2759","1.2672","1.2605","1.2565","1.2548","1.249","1.2458","1.2492","1.2728","1.2779","1.3025","1.3213","1.3512","1.3568","1.3765","1.323","1.3476","1.3474","1.3728","1.4135","1.4253","1.4018","1.4131","1.4139","1.4277","1.4085","1.3511","1.3445","1.3796","1.349","1.3475","1.363","1.3656","1.3921","1.425","1.4463","1.4196","1.404","1.3978","1.3964","1.3847","1.3773","1.3579","1.3584","1.3584","1.3605","1.3476","1.3366","1.3091","1.3258","1.3117","1.3238","1.3382","1.365","1.3619","1.3684","1.3671","1.3865","1.3705","1.3648","1.3465","1.3487","1.3559","1.362","1.3789","1.3535","1.3694","1.3887","1.3813","1.3605","1.366","1.3472","1.3619","1.3977","1.4247","1.4108","1.4143","1.3932","1.3752","1.3579","1.3692","1.3637","1.3373","1.3221","1.3315","1.3279","1.3472","1.3263","1.3228","1.3444","1.3534","1.3445","1.3611","1.3444","1.3686","1.3517","1.3557","1.3597","1.3534","1.3848","1.3697","1.3918","1.3785","1.395","1.434","1.4112","1.3722","1.3446","1.3142","1.348","1.327","1.334","1.3539","1.3557","1.3318","1.3503","1.3648","1.3669","1.3316","1.3186","1.3409","1.3446","1.3476","1.3612","1.3507","1.3585","1.3434","1.3032","1.2806","1.3253","1.3393","1.3603","1.3552","1.349","1.341","1.3077","1.2885","1.2758","1.2947","1.2835","1.2913","1.3001","1.2965","1.2841"
"IMF.STA:ER(4.0.1)","IDN.XDC_USD.EOP_RT.M","OBS_VALUE","Indonesia","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","9000","9085","9180","9190","9565","9480","9485","9560","9588","9615","9605","9670","9698","9667","9719","9722","9802","9929","10278","10924","11613","11234","11977","12189","12226","11634","11404","11532","11611","11969","11591","11717","12212","12082","12196","12440","12625","12863","13084","12937","13211","13332","13481","14027","14657","13639","13840","13795","13846","13395","13276","13204","13615","13180","13094","13300","12998","13051","13563","13436","13343","13347","13321","13327","13321","13319","13323","13351","13492","13572","13514","13548","13413","13707","13756","13877","13951","14404","14413","14711","14929","15227","14339","14481","14072","14062","14244","14215","14385","14141","14026","14237","14174","14008","14102","13901.005","13662","14234","16367.005","15157.005","14733.005","14302","14653.005","14554","14918","14690","14128","14105.005","14084","14229.005","14572","14468","14310","14496","14491.005","14374","14307.005","14199.005","14340","14269.005","14381.005","14371.005","14349.005","14418","14544","14848","14958","14875.005","15247","15542","15737","15731","14979","15274","15062","14751","14969","15026","15083","15239","15526","15916","15384","15416","15796","15673","15853","16249","16253","16421","16320","15409","15138","15732","15864","16162","16259","16430.995","16588","16787","16255","16233","16387.005","16356","16680","16640","16644","16782"
"IMF.STA:ER(4.0.1)","JPN.XDC_USD.EOP_RT.M","OBS_VALUE","Japan","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","76.36","80.65","82.15","81.15","78.8","79.3","78.15","78.45","77.57","79.64","82.45","86.55","91.07","92.48","94.15","98.8","101.03","98.14","98.12","98.33","97.75","98.2","101.37","105.3","102.82","101.8","102.85","102.58","101.92","101.3","102.78","103.71","109.37","110.57","118.21","120.64","118.22","119.26","120.11","118.51","123.75","122.45","123.97","121.2","119.95","120.87","122.8","120.5","121","113.4","112.63","111.74","111.09","102.9","104","102.96","101.08","104.8","112.39","116.8","113.6","112.55","112.05","111.25","110.95","111.94","110.55","110.5","112.66","113.15","112","112.9","108.84","107.32","106.19","109.31","108.66","110.45","110.97","111","113.47","113.24","113.43","110.83","108.92","110.89","110.92","111.7","109.33","107.68","108.56","106.43","107.95","108.83","109.11","109.12","109.03","109.4","108.7","106.58","107.14","107.72","104.55","105.37","105.79","104.58","103.87","103.63","104.48","106.23","110.7","108.95","109.2","110.5","109.5","109.87","111.91","113.65","113.8","114.21","115.43","115.55","122.4","129.9","128.2","136.63","133","138.61","144.74","148.24","138.8","132.65","130.41","136.29","133.48","134.05","139.8","144.88","140.92","146.07","149.44","149.45","146.98","141.91","147.5","150.6","151.25","156.82","156.65","160.95","152.4","144.76","142.65","153.5","152.85","156.65","154.33","149.62","149.48","142.52","143.88","144.74","149.33","146.85","148.83","153.98","156.35","156.3"
"IMF.STA:ER(4.0.1)","GBR.XDC_USD.EOP_RT.M","OBS_VALUE","United Kingdom","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","0.63335233390335","0.627234522988145","0.624648635142732","0.61496832913105","0.64499484004128","0.640902390565917","0.637511156445238","0.631352989456405","0.617627076771046","0.620501365103003","0.62278134147101","0.633713561470215","0.633593106507001","0.658241179568194","0.661288189392937","0.644246875402654","0.657289338766925","0.651126448756349","0.653039900737935","0.645492150025696","0.619080047050084","0.622509960159363","0.612782645995465","0.60723828030119","0.607533414337789","0.599232981783317","0.600853211560416","0.594494976517448","0.594459636190703","0.587026709715292","0.592311792927797","0.602700096432015","0.618046971569839","0.624843789052737","0.635122261035249","0.640697078421322","0.663042036865137","0.648130144533022","0.675675675675676","0.648256190846623","0.655823714585519","0.636213258684311","0.642791820181909","0.649814802781207","0.657938022238305","0.651508241579256","0.666400106624017","0.674809366354005","0.69910514541387","0.7218131947452","0.694299798653058","0.684275352401806","0.684088110548639","0.741399762752076","0.758898079987858","0.761150860100472","0.771545405447111","0.82162517459535","0.8030838419531","0.812875955129247","0.802471612566705","0.803858520900322","0.803051596065047","0.772707955028397","0.778907193207929","0.770505066070809","0.761962816214569","0.7766387076731904","0.7471607890017932","0.7564868749527196","0.7437985793447135","0.7401102764311882","0.703630735","0.725663075","0.7111616826085411","0.7285974499089253","0.7504127269998499","0.7610639674264622","0.7597052343690648","0.7689054630733151","0.7668123610152596","0.7828401440425865","0.7840062720501764","0.7876806742546572","0.7616436269469515","0.7517101405697963","0.7630384189843959","0.7686099688712963","0.7948809665752554","0.7881773399014778","0.8220304151253596","0.8211528986697323","0.8129420372327453","0.7716347081291717","0.7757951900698216","0.7621079907022825","0.7618176970251019","0.776276975624903","0.8090287609724526","0.7993605115907274","0.8114248620577735","0.8149627154557679","0.7611508601004719","0.7516818882249032","0.7792713812585233","0.7701786814540974","0.7487551944891618","0.7451564828614009","0.7289692374981776","0.7181328545780969","0.7265329845975007","0.718803910293272","0.7079646017699115","0.7213445863088798","0.715922107674685","0.7262691553489723","0.744324525493115","0.7254788160185723","0.7495409061949556","0.7443799315170463","0.7460459564309161","0.7465750867893538","0.7618757380671213","0.7955765941366005","0.7943442688061006","0.8258320257659592","0.8208832703989493","0.8608815426997245","0.9036688957166094","0.866738894907909","0.8325701440346349","0.8286377195889957","0.8114248620577735","0.8267879288962381","0.8080481596703164","0.8023428410960003","0.8087997411840828","0.7907013520993121","0.7772725506198749","0.7886435331230284","0.8151620134501732","0.8211866146581811","0.7911079466793244","0.7852067056652664","0.7882705344474224","0.7904825896209636","0.7928642220019822","0.7974163709580958","0.7860399308284861","0.790107849721487","0.7787252268037223","0.7591573353577529","0.7459068362361541","0.7705644384511655","0.7929585282689715","0.797098561237097","0.8057693082470489","0.7939343416299472","0.7728273890026663","0.7486711087819121","0.7422802850356295","0.7297938332421091","0.756000756000756","0.7428040854224698","0.7441860465116279","0.7616726331022926","0.7593014426727411","0.7431905168890045"
"IMF.STA:ER(4.0.1)","MYS.XDC_USD.EOP_RT.M","OBS_VALUE","Malaysia","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","3.0455","3","3.068","3.034","3.182","3.1895","3.144","3.1315","3.066","3.0565","3.0435","3.05825","3.0995","3.092","3.0885","3.0315","3.085","3.1785","3.249","3.2995","3.2575","3.1581","3.2265","3.2815","3.346","3.2785","3.2685","3.26705","3.215","3.2105","3.189","3.157","3.2715","3.2835","3.3685","3.495","3.6235","3.61125","3.7165","3.5705","3.6515","3.7855","3.8175","4.214","4.4455","4.304","4.2615","4.292","4.1475","4.2195","3.922","3.9045","4.1195","4.0225","4.0535","4.0495","4.1455","4.204","4.466","4.486","4.4295","4.445","4.4265","4.3475","4.276","4.294","4.279","4.2695","4.2275","4.2305","4.087","4.062","3.8945","3.9255","3.862","3.9195","3.9765","4.0385","4.0605","4.1075","4.1405","4.1825","4.188","4.1385","4.089","4.0705","4.081","4.1355","4.197","4.142","4.1275","4.222","4.187","4.1775","4.17125","4.0925","4.0885","4.226","4.3025","4.326","4.3485","4.28","4.2425","4.1745","4.1585","4.157","4.069","4.013","4.054","4.0495","4.159","4.1045","4.138","4.15425","4.2305","4.169","4.188","4.144","4.2265","4.176","4.189","4.201","4.204","4.359","4.3755","4.4055","4.4485","4.4845","4.641","4.7265","4.475","4.413","4.2475","4.4835","4.409","4.4585","4.6165","4.679","4.5405","4.638","4.69","4.766","4.653","4.5915","4.7305","4.763","4.7285","4.7675","4.704","4.7195","4.606","4.3155","4.1075","4.395","4.4395","4.47","4.42","4.4655","4.433","4.3175","4.239","4.217","4.254","4.218","4.215","4.192","4.129","4.057"
"IMF.STA:ER(4.0.1)","USA.XDC_USD.EOP_RT.M","OBS_VALUE","United States","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
